aar,yrke_grovgruppe,yrke_fingruppe,yrkeskode,yrke,yrkesbetegnelse,isco_versjon,antall_arbeidssokere
2002,Ingeniør- og ikt-fag,Ikt-yrker,3131,Filmfotografer og innspillingsteknikere,"Filmfotograf (fjernsyn, video, film), Filmklipper (film, fjernsyn, video o.l.), Innspillingstekniker, Lydtekniker, Lystekniker, Programingeniør",ISCO-88,149
2002,Ingeniør- og ikt-fag,Ikt-yrker,3132,Operatører av kringkastings- og telekommunikasjonsutstyr,Radiooperatør,ISCO-88,39
2002,Ingeniør- og ikt-fag,Ikt-yrker,3139,Andre operatører av optisk og elektronisk utstyr,"Kinomaskinist, Scenemester",ISCO-88,22
2002,Reiseliv og transport,Maritime yrker,3141,Skipsmaskinister,Skipsmaskinist,ISCO-88,133
2002,Reiseliv og transport,Maritime yrker,3142,Dekksoffiserer og loser,"Dekksoffiser, Los",ISCO-88,265
2002,Reiseliv og transport,Førere av transportmidler,3143,Flygere,Flyger,ISCO-88,46
2002,Reiseliv og transport,Førere av transportmidler,3144,Flygeledere o.l.,Flygeleder,ISCO-88,4
2002,Ingeniør- og ikt-fag,Ingeniører og teknikere,3151,Branninspektører,*,ISCO-88,*
2002,Ingeniør- og ikt-fag,Ingeniører og teknikere,3152,Sikkerhetsinspektører,"Inspektør (bil), Kontrollingeniør (øvrig teknisk virksomhet), Sikkerhetsinspektør",ISCO-88,22
2002,Ingeniør- og ikt-fag,Ingeniører og teknikere,3211,Bioingeniører og -teknikere,"Bioingeniør, Laboratorietekniker",ISCO-88,75
2002,Ingeniør- og ikt-fag,Ingeniører og teknikere,3212,Agroteknikere,Agrotekniker,ISCO-88,8
2002,Ingeniør- og ikt-fag,Ingeniører og teknikere,3213,"Skogingeniører, skogkonsulenter o.l.",Skogbruksfunksjonær,ISCO-88,19
2002,"Helse, pleie og omsorg",Annet helsepersonell,3221,Radiografer og audiografer,"Audiograf, Radiograf",ISCO-88,20
2002,"Helse, pleie og omsorg",Annet helsepersonell,3222,Helse- og miljøinspektører,"Næringsmiddelinspektør, Næringsmiddeltekniker, Næringsmiddelteknolog, Skadedyrinspektør",ISCO-88,41
2002,"Helse, pleie og omsorg","Medisinske yrker (leger, tannleger, veterinærer, farmasøyter)",3223,Kostholdskonsulenter,*,ISCO-88,*
2002,"Helse, pleie og omsorg",Annet helsepersonell,3224,Optikere,Optiker,ISCO-88,7
2002,"Helse, pleie og omsorg",Annet helsepersonell,3225,Tannpleiere,Tannpleier,ISCO-88,19
2002,"Helse, pleie og omsorg",Annet helsepersonell,3226,"Fysioterapeuter, ergoterapeuter o.l.","Ergoterapeut, Fysioterapeut, Kiropraktor",ISCO-88,109
2002,"Helse, pleie og omsorg",Annet helsepersonell,3227,Dyrepleiere,Dyrepleier,ISCO-88,35
2002,"Helse, pleie og omsorg",Annet helsepersonell,3228,Reseptarer,Reseptar,ISCO-88,5
2002,"Helse, pleie og omsorg",Annet helsepersonell,3229,Naturterapeuter,Naturterapeut,ISCO-88,20
2002,"Helse, pleie og omsorg",Sykepleiere og jordmødre,3231,Sykepleiere,Sykepleier,ISCO-88,205
2002,"Helse, pleie og omsorg",Sykepleiere og jordmødre,3232,Vernepleiere,"Boleder, Vernepleier",ISCO-88,337
2002,Undervisning,Grunnskolelærere,3310,Grunnskolelærere,"Allmennlærer (grunnskolen), Faglærer (grunnskole)",ISCO-88,1967
2002,Undervisning,Førskolelærere,3320,Førskolelærere,Førskolelærer,ISCO-88,452
2002,Undervisning,Lærere i videregående skole,3341,Yrkesfaglærere og faglærere i videregående skole,"Datalærer, Faglærer (videregående skole), Kroppsøvingslærer, Leirskolelærer, Yrkesfaglærer",ISCO-88,570
2002,Undervisning,Annet undervisningspersonale,3349,Andre yrker innen undervisning og pedagogisk arbeid,"Danselærer, Dykkeinstruktør, Flyinstruktør, Instruktører (øvrige), Kjøreskolelærer",ISCO-88,252
2002,Meglere og konsulenter,Meglere,3411,Finansmeglere,Finansmegler,ISCO-88,66
2002,Meglere og konsulenter,Salgskonsulenter og liknende,3412,Forsikringskonsulenter,Forsikringskonsulent,ISCO-88,179
2002,Meglere og konsulenter,Meglere,3413,Eiendomsmeglere og -forvaltere,"Eiendomsforvalter, Eiendomsmegler",ISCO-88,90
2002,Reiseliv og transport,"Reiseledere, guider og reisebyråmedarbeidere ",3414,Reisekonsulenter,"Reisekonsulent, Turoperatør",ISCO-88,224
2002,Meglere og konsulenter,Salgskonsulenter og liknende,3415,Tekniske og kommersielle salgsrepresentanter,"Agent, Legemiddelkonsulent, Teknisk salgsrepresentant",ISCO-88,368
2002,Meglere og konsulenter,Salgskonsulenter og liknende,3416,Innkjøpere,Innkjøper,ISCO-88,179
2002,Meglere og konsulenter,Meglere,3417,"Takstmenn, takstinspektører og auksjonarier","Auksjonarius, Takstmann, Tømmermålingsinspektør",ISCO-88,20
2002,Meglere og konsulenter,Økonomer og revisorer,3418,Kundebehandlere (banktjenester),Bankfunksjonær,ISCO-88,382
2002,Meglere og konsulenter,Salgskonsulenter og liknende,3419,Markedsførings- og reklamekonsulenter,"Markedsføringskonsulent, Produktutvikler, Reklamekonsulent",ISCO-88,910
2002,Meglere og konsulenter,Meglere,3421,Handels- og skipsmeglere,"Flymegler, Handelsmegler, Skipsmegler",ISCO-88,25
2002,Meglere og konsulenter,Meglere,3422,Speditører og befraktere,Speditør,ISCO-88,195
2002,Meglere og konsulenter,Salgskonsulenter og liknende,3423,Kunde-/personalkonsulenter (vikarbyrå),Personalkonsulent (vikarbyrå),ISCO-88,57
2002,Kontorarbeid,Andre funksjonærer,3429,Andre foretningsmeglere,"Bedriftsmegler, Idrettsagent",ISCO-88,4
2002,Kontorarbeid,Sekretærer,3431,Funksjonærer innen administrasjon,"Administrasjonssekretær, Ambassadesekretær",ISCO-88,106
2002,Meglere og konsulenter,Økonomer og revisorer,3433,Revisorer (ikke statsautoriserte) og regnskapsførere,"Regnskapsfører, Revisor (ikke statsautorisert)",ISCO-88,263
2002,Serviceyrker og annet arbeid,Annet arbeid,3434,Husøkonomer,Husøkonom,ISCO-88,101
2002,Serviceyrker og annet arbeid,"Yrker innen politi, brannvesen, toll og forsvar",3441,Tollfunksjonærer,"Toller, Tollkasserer",ISCO-88,8
2002,Kontorarbeid,Lavere saksbehandlere innen offentlig administrasjon,3442,Førstesekretærer (offentlig administrasjon),Førstesekretær (offentlig administrasjon),ISCO-88,54
2002,Serviceyrker og annet arbeid,"Yrker innen politi, brannvesen, toll og forsvar",3450,Polititjenestemenn,"Lensmannsbetjent, Polititjenestemann/kvinne",ISCO-88,22
2002,"Helse, pleie og omsorg",Sosionomer og barnevernspedagoger,3460,"Sosionomer, barnevernspedagoger o.l.","Barnevernkonsulent, Barnevernskonsulent, Familierådgiver, Fritidsleder, Sosionom, Sosionomer, barnevernspedagoger o.l., Ungdomskonsulent",ISCO-88,473
2002,Ingeniør- og ikt-fag,Ikt-yrker,3471,"Dekoratører, designere, og reklametegnere","Dekoratør, Grafisk designer, Interiørkonsulent, Motedesigner, Web-designer",ISCO-88,658
