leverandor,jan,feb,mars,april,mai,juni,juli,aug,sep,okt,nov,des,total
Arbeidsdepartementet,0,0,0,0,216,217,156,150,284,342,281,137,1783
Arbeidstilsynet,0,0,0,0,0,0,436,718,913,1496,950,487,5000
Arkivverket,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barne-, likestillings- og inkluderingsdepartementet",0,0,0,0,189,219,199,202,327,332,297,237,2002
"Barne-, ungdoms- og familiedirektoratet",0,0,0,0,0,0,0,0,0,0,0,0,0
Brønnøysundregistrene,0,0,0,0,0,0,43,29,56,62,66,30,286
Datatilsynet,0,0,0,0,36,253,235,136,180,169,195,70,1274
Departementenes servicesenter,0,0,0,0,0,0,0,0,0,13,9,4,26
Direktoratet for mineralforvaltning med Bergmesteren for Svalbard,0,0,0,0,0,0,0,0,0,0,0,0,0
Direktoratet for naturforvaltning,0,0,0,0,0,0,0,0,0,150,175,150,475
Direktoratet for samfunnssikkerhet og beredskap,0,0,0,0,0,6,125,129,206,190,208,106,970
Direktoratet for utviklingssamarbeid,0,0,0,0,0,0,4,33,91,68,33,42,271
Direktoratet for økonomistyring,0,0,0,0,0,0,0,0,0,5,1,1,7
Domstoladministrasjonen,0,0,0,0,0,0,0,0,0,0,0,0,0
Finansdepartementet,0,0,0,0,135,115,101,215,297,345,186,227,1621
Finanstilsynet,0,0,0,0,0,0,21,82,298,191,158,165,915
Fiskeri- og kystdepartementet,0,0,0,0,145,167,202,114,245,191,195,128,1387
Fiskeridirektoratet,0,0,0,0,0,0,0,0,0,0,0,0,0
Forbrukerombudet,0,0,0,0,0,0,0,0,0,0,0,21,21
"Fornyings-, administrasjons- og kirkedepartementet",0,0,0,0,262,194,246,351,320,306,287,192,2158
Forsvarsdepartementet,0,0,0,0,246,264,162,114,146,217,227,64,1440
Fredskorpset,0,0,0,0,0,0,0,0,0,0,0,0,0
Fylkesmannen i Aust-Agder,0,0,0,0,0,0,0,0,0,6,88,30,124
Fylkesmannen i Buskerud,0,0,0,0,0,0,0,0,0,68,147,133,348
Fylkesmannen i Finnmark,0,0,0,0,0,0,0,0,0,0,160,204,364
Fylkesmannen i Hedmark,0,0,0,0,0,0,0,0,0,20,141,37,198
Fylkesmannen i Hordaland,0,0,0,0,0,0,0,0,0,29,202,113,344
Fylkesmannen i Møre og Romsdal,0,0,0,0,0,0,0,0,0,25,65,129,219
Fylkesmannen i Nord-Trøndelag,0,0,0,0,0,0,0,0,0,28,169,97,294
Fylkesmannen i Nordland,0,0,0,0,0,0,0,0,0,268,115,149,532
Fylkesmannen i Oppland,0,0,0,0,0,0,0,0,0,0,0,0,0
Fylkesmannen i Oslo og Akershus,0,0,0,0,0,0,0,0,0,64,239,119,422
Fylkesmannen i Rogaland,0,0,0,0,0,0,0,0,0,0,63,92,155
Fylkesmannen i Sogn og Fjordane,0,0,0,0,0,0,0,0,0,58,254,228,540
Fylkesmannen i Sør-Trøndelag,0,0,0,0,0,0,0,0,0,11,72,72,155
Fylkesmannen i Telemark,0,0,0,0,0,0,0,0,0,13,135,28,176
Fylkesmannen i Troms,0,0,0,0,0,0,0,0,0,47,216,255,518
Fylkesmannen i Vest-Agder,0,0,0,0,0,0,0,0,0,69,147,96,312
Fylkesmannen i Vestfold,0,0,0,0,0,0,0,0,0,74,214,113,401
Fylkesmannen i Østfold,0,0,0,0,0,0,0,0,0,25,194,136,355
Garanti-instituttet for eksportkreditt,0,0,0,0,0,0,0,0,0,0,0,0,0
Havforskningsinstituttet,0,0,0,0,0,0,23,15,31,14,6,4,93
Helse- og omsorgsdepartementet,0,0,0,0,378,192,318,415,479,615,472,268,3137
Helsedirektoratet,0,0,0,0,0,0,0,0,0,0,0,0,0
Husbanken,0,0,0,0,0,3,32,12,17,46,24,42,176
Integrerings- og mangfoldsdirektoratet,0,0,0,0,0,0,0,0,0,7,0,1,8
Justervesenet,0,0,0,0,0,0,0,0,0,38,65,39,142
Justis- og politidepartementet,0,0,0,0,532,490,607,859,864,1136,1009,502,5999
Klima- og forurensningsdirektoratet,0,0,0,0,0,2,125,165,261,301,198,201,1253
Kommunal- og regionaldepartementet,0,0,0,0,37,73,83,112,125,83,70,83,666
Kompetansesenter for distriktsutvikling,0,0,0,0,0,0,0,0,0,2,0,10,12
Kulturdepartementet,0,0,0,0,259,177,155,367,330,312,438,262,2300
Kunnskapsdepartementet,0,0,0,0,218,202,202,279,322,523,366,186,2298
Kunst i offentlige rom,0,0,0,0,0,0,0,0,35,74,26,13,148
Kystverket,0,0,0,0,0,0,0,0,0,0,0,0,0
Landbruks- og matdepartementet,0,0,0,0,144,151,77,89,153,147,119,84,964
Lotteri- og stiftelsestilsynet,0,0,0,0,0,0,0,0,0,125,215,157,497
Luftfartstilsynet,0,0,0,0,0,0,134,98,153,225,153,129,892
Medietilsynet,0,0,0,0,0,0,0,0,0,0,0,0,0
Miljøverndepartementet,0,0,0,0,147,217,219,244,361,402,329,186,2105
Nasjonalbiblioteket,0,0,0,0,0,0,0,0,0,8,22,8,38
Nasjonalt folkehelseinstitutt,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasjonalt organ for kvalitet i utdanningen,0,0,0,0,0,2,42,18,17,57,8,8,152
Norges geologiske undersøkelse,0,0,0,0,0,0,8,3,17,14,13,7,62
Norges vassdrags- og energidirektorat,0,0,0,0,166,309,323,486,468,307,435,251,2745
Norsk Filminstitutt,0,0,0,0,0,0,0,0,0,0,0,0,0
Nærings- og handelsdepartementet,0,0,0,0,252,153,198,139,190,177,185,174,1468
Olje- og energidepartementet,0,0,0,0,117,233,202,432,332,349,308,221,2194
Oljedirektoratet,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleumstilsynet,0,0,0,0,0,0,0,0,0,0,0,0,0
Politidirektoratet,0,0,0,0,0,0,0,0,0,0,0,0,0
Post- og teletilsynet,0,0,0,0,0,0,0,0,0,96,148,66,310
