id;navn;fylke;kommune;addresse;aapningstider;lat;lon;url;sistEndret
68069;Tenestetorget – rett i urna;Sogn og Fjordane;Flora;Markegata 51, 6900 Florø;Opningstider: måndag til fredag,  kl. 09.00 til 15.00.  To torsdagar i perioden til kl. 18.00, og éin laurdag i perioden frå kl. 10.00 til 14.00.;61.600027;5.037945;http://valglokaler.no/valglokale-forhands/tenestetorget-rett-i-urna/;2015-06-30
68074;Førde helsetun;Sogn og Fjordane;Førde;Langebruvegen 34, 6809 Førde;;61.454426;5.858336;http://valglokaler.no/valglokale-forhands/forde-helsetun/;2015-06-30
68080;Helse Førde;Sogn og Fjordane;Førde;6812 Førde;;61.456758;5.888339;http://valglokaler.no/valglokale-forhands/helse-forde/;2015-06-30
68082;Førde rådhus;Sogn og Fjordane;Førde;6800 Førde;Opningstider:  10.08.-11.09.2015  måndag-fredag:kl.08.00-15.15    Utvida opningstid:  Fredag 11.09.2015:08.00-16.00;61.450285;5.857457;http://valglokaler.no/valglokale-forhands/forde-radhus/;2015-06-30
68085;Kommunehuset;Sogn og Fjordane;Gaular;Vadheimsvegen 15, 6973 Sande i Sunnfjord;Førehandsrøysting 10.08.- 11.09.15 ved Gaular kommunehus man.-fred. kl. 08.00-15.30. Røystetider valdagen 14.09.15 kl.11:00-19:00. Hugs legitimasjon!;61.325672;5.79684;http://valglokaler.no/valglokale-forhands/kommunehuset-25/;2015-06-30
68089;Servicetorget;Sogn og Fjordane;Gloppen;Heradshuset,Grandavegen 9, 6823 Sandane;10/8-14/8: kl 08.00 - 15.00  17/8-11/9 kl 08.00 - 15.45;61.777233;6.215558;http://valglokaler.no/valglokale-forhands/servicetorget-34/;2015-06-30
68095;Gulen sjukeheim;Sogn og Fjordane;Gulen;5966 Eivindvik;Fredag 04.09.15, kl 11.00 -  13.00;60.981067;5.065942;http://valglokaler.no/valglokale-forhands/gulen-sjukeheim/;2015-06-30
68096;Dalsøyra bu- og omsorgsenter;Sogn og Fjordane;Gulen;5960 Dalsøyra;Laurdag 05.09.15 kl 10.00 - 13.00;60.935573;5.143388;http://valglokaler.no/valglokale-forhands/dalsoyra-bu-og-omsorgsenter/;2015-06-30
68097;Brekke bu- og omsorgsenter;Sogn og Fjordane;Gulen;5961 Brekke;Laurdag 05.09.15 kl 10.00 - 13.00;61.011346;5.446791;http://valglokaler.no/valglokale-forhands/brekke-bu-og-omsorgsenter/;2015-06-30
68098;Eivindvik bu- og omsorgssenter;Sogn og Fjordane;Gulen;5966 Eivindvik;Laurdag 05.09.15 kl 10.00 - 13.00;60.979982;5.082563;http://valglokaler.no/valglokale-forhands/eivindvik-bu-og-omsorgssenter/;2015-06-30
68101;Byrknes bu- og omsorgsenter;Sogn og Fjordane;Gulen;5970 Byrknesøy;Laurdag 05.09.15 kl 10.00 - 13.00;60.897835;4.838018;http://valglokaler.no/valglokale-forhands/byrknes-bu-og-omsorgsenter/;2015-06-30
68102;Kommunehuset;Sogn og Fjordane;Gulen;5966 Eivindvik;01.06. - 07.08.15:Kl 09.00 - 14.00 - etter avtale  10.08 - 11.09.15: Kl 09.00 - 15.00.    Torsdag 10.09  Utvida opningstid til kl. 18.00;60.981359;5.074739;http://valglokaler.no/valglokale-forhands/kommunehuset-26/;2015-06-30
68104;Smia førehand;Sogn og Fjordane;Hornindal;6763 Hornindal;;61.968451;6.523905;http://valglokaler.no/valglokale-forhands/smia-forehand/;2015-06-30
68106;Smia førehand;Sogn og Fjordane;Hornindal;6763 Hornindal;10.08.-11.09.2015: måndag-fredag: kl. 09.00-15.00  Utvida opningstid:  laurdag 05.09.2015: kl. 10.00-13.00;61.968451;6.523905;http://valglokaler.no/valglokale-forhands/smia-forehand-2/;2015-06-30
68112;Høyanger rådhus;Sogn og Fjordane;Høyanger;August Gunnarskogsgt. 1, 6993 Høyanger;Opningstider:  10.08 -11.09.2015 mandag-fredag kl 0815-1445  Utvida opningstid:  lørdag 05.09.2015 kl 1100-1500  torsdag 10.09.2015 kl 0815-1800;61.218867;6.073217;http://valglokaler.no/valglokale-forhands/hoyanger-radhus/;2015-06-30
68113;Kommunehuset;Sogn og Fjordane;Hyllestad;6957 Hyllestad;Førehandsrøysting på kommunehuset i tida 10.8.-11.9. kl. 09:00 - 15:00.  Tidlegrøysting etter nærare avtale i tida 1.7.-9.8., avtal tid på 57789500.;61.17090;5.29307;http://valglokaler.no/valglokale-forhands/kommunehuset-27/;2015-06-30
