id,navn,fylke,kommune,addresse,aapningstider,lat,lon,url,sistEndret
66488,Servicekontoret,Akershus,Nannestad,"Teiealleen 31, 2030 Nannestad","Åpningstider:  10.08 - 11.09.15: kl 09.00 - 15.00    Utvidet åpningstid  08.09.15: kl 09.00 - 20.00  10.09.15: kl 09.00 - 20.00     For nærmere informasjon om valget, se kommunens nettside.",60.216525,11.010895,http://valglokaler.no/valglokale-forhands/servicekontoret-3/,2015-07-01
66498,Nes rådhus,Akershus,Nes,"Rådhusgata 2, 2150 Årnes",Forhåndsstemming i Nes rådhus - se annonse i lokalavisene/Nes kommunes hjemmesider eller kontakt servicetorget - 63911000. Husk å ta med legitimasjon.,60.122505,11.465757,http://valglokaler.no/valglokale-forhands/nes-radhus/,2015-06-30
66502,Tangenten,Akershus,Nesodden,"Tangenten,Konglevn. 2, 1450 Nesoddtangen","Forhåndsstemming foregår på Biblioteket, Tangenten, Konglevn. 2",59.855895,10.662315,http://valglokaler.no/valglokale-forhands/tangenten/,2015-07-06
66506,Servicetorget – ordinære forhåndsstemmer,Akershus,Nittedal,"Moveien 1, 1482 Nittedal",,60.043050,10.881766,http://valglokaler.no/valglokale-forhands/servicetorget-ordinaere-forhandsstemmer/,2015-06-30
66512,Rådhuset,Akershus,Oppegård,"Kolbotnveien 30, 1410 Kolbotn",Forhåndsstem på Rådhuset i ordinær åpningstid. Utvidet åpningstid fra 07.09-10.09 kl 08-18  Mer info på www.oppegard.kommune.no  Husk legitimasjon!,59.811739,10.797071,http://valglokaler.no/valglokale-forhands/radhuset-9/,2015-07-02
66518,Forhåndsstemme,Akershus,Rælingen,2008 Fjerdingby,"Forhåndsstemmegivning kan skje på servicetorget, Rælingen rådhus fra 10.08.15 til og med 11.09.15.  Husk legitimasjon!",59.925539,11.065979,http://valglokaler.no/valglokale-forhands/forhandsstemme-2/,2015-06-30
66524,Skedsmo bibliotek,Akershus,Skedsmo,"Støperiveien 28, 2011 Strømmen",Informasjon om åpningstider finner du på www.skedsmo.kommune.no/valg,59.948864,11.009889,http://valglokaler.no/valglokale-forhands/skedsmo-bibliotek/,2015-06-30
66526,Skedsmo rådhus,Akershus,Skedsmo,"Jonas Lies gt 18, 2000 Lillestrøm",Informasjon om åpningstider finner du på www.skedsmo.kommune.no/valg,59.954817,11.039436,http://valglokaler.no/valglokale-forhands/skedsmo-radhus/,2015-06-30
66541,Konvolutt – sentral registrering,Akershus,Ski,"Postboks 3010, 1402 Ski",Forhåndsstemmemottak: Rådhuset Man.-Fred. kl. 08.00-15.00. Husk: Du må ha med legitimasjon for å stemme. Se mer info på www.ski.no,59.720416,10.83886,http://valglokaler.no/valglokale-forhands/konvolutt-sentral-registrering-2/,2015-06-30
66544,Rådhuset,Akershus,Ski,"Idrettsveien 8, 1400 Ski",Forhåndsstemmemottak: Rådhuset Man.-Fred. kl. 08:00-15:00. Husk: Du må ha med legitimasjon for å stemme. Se mer info på www.ski.no/Valg,59.720416,10.83886,http://valglokaler.no/valglokale-forhands/radhuset-10/,2015-06-30
66551,Sørum rådhus,Akershus,Sørum,1920 Sørumsand,"Forhåndsstemmer mottas i Sørum rådhus og noen dager i biblioteket Frogner, etter særskilt kunngjøring.",59.987111,11.240606,http://valglokaler.no/valglokale-forhands/sorum-radhus/,2015-06-30
66553,Servicetorget,Akershus,Ullensaker,"Furusethgata 12, 2050 Jessheim",,60.143424,11.175377,http://valglokaler.no/valglokale-forhands/servicetorget-9/,2015-06-30
66554,Jessheim bibliotek,Akershus,Ullensaker,"Furusethgata 12, 2050 Jessheim","Åpningstider:  Uke 33:   Mandag og onsdag: 10:00 - 15:00  Tirsdag og torsdag: 12:00 - 18:00  Fredag: stengt  Lørdag: 10:00 - 14:00    Ukene 34 - 37:  Mandag, onsdag og fredag: 10:00 - 16:00  Tirsdag og torsdag: 12:00 - 19:00  Lørdag: 10:00 - 15:00",60.14347,11.175048,http://valglokaler.no/valglokale-forhands/jessheim-bibliotek/,2015-07-03
66556,Kløfta bibliotek,Akershus,Ullensaker,"Trondheimsvegen 84, 2040 Kløfta",Åpningstider:    Uke 33:  Mandag: 12:00 - 18:00  Tirsdag - Torsdag: 12:00 - 15:00  Fredag og lørdag: Stengt    Ukene 34 - 37:  Mandag 11:00 - 18:00  Tirsdag og onsdag: 10:00 - 16:00  Torsdag 12:00 - 19:00  Fredag: Stengt  Lørdag: 11:00 - 14:00,60.076125,11.137519,http://valglokaler.no/valglokale-forhands/klofta-bibliotek/,2015-07-03
66566,Servicekontoret,Akershus,Vestby,1540 Vestby,Mandag 10.8 - 11.9 kl. 08.00 - 15.00.    Langåpent mandag 7.9 - onsdag 9.9 kl. 08.00 - 19.00.    Torsdag 10.9 kl. 08.00 - 20.00.,59.601693,10.748089,http://valglokaler.no/valglokale-forhands/servicekontoret-4/,2015-06-30
66572,Nyborg – kommunehus,Hedmark,Alvdal,2560 Alvdal,,62.108567,10.634435,http://valglokaler.no/valglokale-forhands/nyborg-kommunehus/,2015-06-30
66575,Åmot Kulturhus – Biblioteket,Hedmark,Åmot,"Torget 1, 2450 Rena",Mandag 10.08.15 - fredag 11.09.15: 0900-1500  Torsdag 03.09.15: 0900 - 2000  Lørdag 05.09.15: 0900 - 1400  Tirsdag 08.09.15 - 0900 - 2100,61.13210720,11.37334678,http://valglokaler.no/valglokale-forhands/amot-kulturhus-biblioteket/,2015-06-30
66579,Rådhuset,Hedmark,Åsnes,"Rådhusgata 1, 2270 Flisa",,60.61399244,12.01153434,http://valglokaler.no/valglokale-forhands/radhuset-11/,2015-06-30
66588,Eidskog Rådhus,Hedmark,Eidskog,"Rådhusvegen 11, 2230 Skotterud",Husk valgkort og gyldig legitimasjon. Forhåndsstemmegivning 10.aug. - 11 sept.,59.985427,12.125067,http://valglokaler.no/valglokale-forhands/eidskog-radhus/,2015-06-30
66605,Kommunehuset Folkvang. ordinære forh.stemmer,Hedmark,Elverum,"Lærerskolealleen 1, 2408 Elverum",,60.88571733,11.55800454,http://valglokaler.no/valglokale-forhands/kommunehuset-folkvang-ordinaere-forh-stemmer/,2015-09-08
66609,Konvolutt – sentral registrering,Hedmark,Engerdal,"Engerdalsveien 1794, 2440 Engerdal",,61.758322,11.959863,http://valglokaler.no/valglokale-forhands/konvolutt-sentral-registrering-3/,2015-06-30
66610,Kommunehuset Enger,Hedmark,Engerdal,"Engerdalsveien 1794, 2440 Engerdal",Du kan lese mer informasjon på kommunens hjemmeside,61.758322,11.959863,http://valglokaler.no/valglokale-forhands/kommunehuset-enger/,2015-06-30
66616,Nyberg,Hedmark,Folldal,"Nyberg, 2580 Folldal",Åpningstider:  Alle hverdager fra 10.08.2015 til og med 11.09.2015 kl 09.00-14.30.,62.133,9.977,http://valglokaler.no/valglokale-forhands/nyberg/,2015-06-30
66620,Grue rådhus- Servicetorget,Hedmark,Grue,2260 Kirkenær,Alle dager kl. 08.00-15.00    Utvidet åpningstid:  Torsdag 03.09. til kl. 16.30.  Fredag 04.09. til kl. 16.30  Lørdag 05.09. kl. 11.00-14.00,60.4516,12.0551,http://valglokaler.no/valglokale-forhands/servicetorget-10/,2015-07-03
66625,Sykehuset Innlandet Hamar,Hedmark,Hamar,"Skolegata 32, 2318 Hamar",Du kan forhåndsstemme ved Hamar sykehus 10. september kl. 10.00 til 15.00.,60.798376,11.072041,http://valglokaler.no/valglokale-forhands/sykehuset-innlandet-hamar/,2015-06-30
66627,Østregate 122,Hedmark,Hamar,"Østregate 122, 2317 Hamar",Du kan forhåndsstemme i Østregate 122 4. september kl. 13.30 til 15.00.,60.792140,11.087692,http://valglokaler.no/valglokale-forhands/ostregate-122/,2015-06-30
66628,Klukstuen omsorgsenter,Hedmark,Hamar,"Stafsbergvegen 110, 2319 Hamar",Du kan forhåndsstemme ved Klukstuen omsorgssenter 7. september kl.14.00 til 15.30.,60.811050,11.080093,http://valglokaler.no/valglokale-forhands/klukstuen-omsorgsenter/,2015-06-30
66630,Hamar bibliotek,Hedmark,Hamar,"Torggata 100, 2317 Hamar","Du kan forhåndsstemme ved Hamar bibliotek lørdag 22. august, lørdag 29. august og lørdag 5. september kl. 11.00 til kl. 14.00.",60.795132,11.067050,http://valglokaler.no/valglokale-forhands/hamar-bibliotek/,2015-09-02
66632,Prestrudsenteret og Kløverenga,Hedmark,Hamar,"Jønsrudvegen 22, 2315 Hamar",Du kan forhåndsstemme ved Prestrudsenteret kl. 10.00 - 12.00 og ved Kløverenga kl. 13.30 - 15.00 den 3.september.,60.806775,11.045011,http://valglokaler.no/valglokale-forhands/prestrudsenteret-og-kloverenga/,2015-07-07
66638,Kåtorp bo- og aktivitetssenter,Hedmark,Hamar,"Kåtorpgrenda 33, 2322 Ridabu",Du kan stemme ved Kåtorp bo- og aktivitetssenter 9. september kl. 13.30 til 14.00.,60.812349,11.147135,http://valglokaler.no/valglokale-forhands/katorp-bo-og-aktivitetssenter/,2015-06-30
66639,Finsalsenteret,Hedmark,Hamar,"Finsalvegen 3, 2322 Ridabu",Du kan forhåndsstemme ved Finsalsenteret 9. september kl. 10.00 - 12.00.,60.804196,11.133380,http://valglokaler.no/valglokale-forhands/finsalsenteret/,2015-06-30
66641,Parkgården,Hedmark,Hamar,"Parkgata 35, 2317 Hamar",Du kan forhåndsstemme ved Parkgården 7. september fra kl. 10.00 - 12.00.,60.793303,11.079396,http://valglokaler.no/valglokale-forhands/parkgarden/,2015-07-08
66642,Hamar rådhus – Servicekontoret,Hedmark,Hamar,"Vangsvegen 51, 2317 Hamar",Åpningstider  Mandag 31. august til og med fredag 4. september kl 08.00 – kl 16.00.   Lørdag 5. september kl 11.00 - 15.00.   Mandag 7. september til og med torsdag 10. september kl 08 00 - kl. 18.00.   Fredag 11. september kl 08.00 - 16.00.,60.794478,11.078474,http://valglokaler.no/valglokale-forhands/hamar-radhus-servicekontoret/,2015-09-02
66644,Østregate 91,Hedmark,Hamar,"Østregate 91, 2317 Hamar",Du kan forhåndsstemme ved Østregate 91 4. september kl.10.00 til 12.00.,60.792011,11.083517,http://valglokaler.no/valglokale-forhands/ostregate-91/,2015-06-30
66645,Kongsvinger bibliotek,Hedmark,Kongsvinger,"Rådhusplassen 6, 2212 Kongsvinger",Husk legitimasjon og valgkort ved stemmegivning,60.191233,12.000980,http://valglokaler.no/valglokale-forhands/kongsvinger-bibliotek/,2015-06-30
66658,Tingberg,Hedmark,Løten,"Kildevegen 1, 2340 Løten",Åpningstider:  Mandag - fredag kl 0800-1530  Torsdag 10.sept kl 0800-1800  Fredag 11.sept kl 0800-1800,60.817491,11.343872,http://valglokaler.no/valglokale-forhands/tingberg/,2015-07-08
66660,Løten Helsetun,Hedmark,Løten,"Sykehusvegn 10, 2340 Løten",Åpningstider:  8.september kl 1100 - 1300,60.821674,11.351591,http://valglokaler.no/valglokale-forhands/loten-helsetun/,2015-07-08
66661,Kvennhaugen,Hedmark,Løten,"Grinderengsletta 10, 2340 Løten",Åpningstider:  9.september kl 1100 - 1300,60.821559,11.342021,http://valglokaler.no/valglokale-forhands/kvennhaugen/,2015-07-08
66669,Forhåndsstemmer,Hedmark,Nord-Odal,"Kommunehuset,Herredsveien 2, 2120 Sagstua",Husk legitimasjon. Forhåndsstemming i servicetorgets åpningstid fra 01.07. I tillegg 05.09. fra 11-13 og torsdag 10.09 frem til 19.00.,60.39180833,11.54174104,http://valglokaler.no/valglokale-forhands/forhandsstemmer/,2015-06-30
66677,Kommunehus,Hedmark,Os,2550 Os i Østerdalen,,62.2943,11.1341,http://valglokaler.no/valglokale-forhands/kommunehus/,2015-06-30
66679,Kommunehuset,Hedmark,Rendalen,"Kommunehuset,Hanestadveien 1, 2485 Rendalen",Åpningstider forhåndsstemmegivning:  10.08.-11.09.: Kl. 12.00-15.00 alle hverdager  + lørdagene 15.08. og 05.09. kl. 12.00-14.00 i Rendalen kommunehus,61.889733,11.077137,http://valglokaler.no/valglokale-forhands/kommunehuset-2/,2015-06-30
66690,Ringsaker hovedbibliotek,Hedmark,Ringsaker,"Buttekvernvegen 3, 2382 Brumunddal",Åpent: 10.8-15.8.2015: Mand-fred kl.1000-1700.   Åpent: 17.8-11.9.2015: Mand-fred kl.1000-1900.  Åpent: Alle lørd i perioden kl. 1000-1400.,60.884317,10.94691,http://valglokaler.no/valglokale-forhands/ringsaker-hovedbibliotek/,2015-06-30
66692,Servicesenteret/biblioteket i Herredshuset,Hedmark,Ringsaker,"Åsmarkvegen 3, 2390 Moelv",Åpent:10.-15.8.2015: Man/tors 10-17. Tirs/ons/fre 10-15. Åpent:17.8-11.9.2015:Man/tors 10-19. Tirs/ons/fre 10-16. Åpent : Alle lørd  i perioden 10-14.,60.930605,10.702173,http://valglokaler.no/valglokale-forhands/servicesenteretbiblioteket-i-herredshuset/,2015-06-30
66693,Ringsaker kommunale servicesenter,Hedmark,Ringsaker,"Brugata 2, 2380 Brumunddal",Åpent: 10.8-31.8.2015: mandag til fredag kl. 0800 - 1500. Åpent: 1.9-11.9.2015  : mandag til fredag kl. 0800 - 1600.,60.886061,10.93925,http://valglokaler.no/valglokale-forhands/ringsaker-kommunale-servicesenter/,2015-06-30
66698,Rådhuset,Hedmark,Sør-Odal,2100 Skarnes,,60.253484,11.683102,http://valglokaler.no/valglokale-forhands/radhuset-12/,2015-06-30
66700,Biblioteket,Hedmark,Sør-Odal,2100 Skarnes,,60.253484,11.683102,http://valglokaler.no/valglokale-forhands/biblioteket-3/,2015-06-30
66709,Servicekontoret,Hedmark,Stange,"Storgata 45, 2335 Stange","10. august - 11. september i rådhusets åpningstid, samt noe utvidet åpningstid. Se info på www.stange.kommune.no/valg.  Tlf. 62562000.",60.715940,11.190905,http://valglokaler.no/valglokale-forhands/servicekontoret-5/,2015-06-30
66714,Kommunehuset,Hedmark,Stor-Elvdal,"Storgata 120, 2480 Koppang",Åpningstider:  10.08-11.09.2015:  mandag - fredag: kl. 08.00 - 15.00     Utvidet åpningstider:   lørdag 29.08.2015: kl. 10.00 – 14.00  fredag 04.09.2015: kl. 15.00 – 19.00  lørdag 05.09.2015: kl. 10.00 – 14.00  fredag 11.09.2015: kl. 15.00 – 19.00​,61.572352,11.046643,http://valglokaler.no/valglokale-forhands/kommunehuset-3/,2015-07-01
