vurderingid;created;nettstednavn;url;poeng;maxpoeng;snittprosent;stjerner;tilgang_poeng;tilgang_maxpoeng;brukertilpass_poeng;brukertilpass_maxpoeng;nyttig_poeng;nyttig_maxpoeng
13149;08/31/2010 11:26:26;Agdenes kommune;http://www.agdenes.kommune.no/;65;99;66;4;19;30;20;33;26;36
13915;10/04/2010 11:00:00;Akershus fylkeskommune;http://www.akershus.no/;91;99;92;6;29;30;32;33;30;36
14361;10/20/2010 14:22:25;Akershus universitetssykehus HF;http://www.ahus.no;61;99;62;4;16;30;25;33;20;36
13126;08/30/2010 11:59:17;Alstahaug kommune;http://www.alstahaug.kommune.no/;43;99;43;3;13;30;18;33;12;36
13125;08/30/2010 09:39:34;Alta kommune;http://www.alta.kommune.no;90;99;91;6;29;30;30;33;31;36
13178;09/01/2010 07:23:02;Alvdal kommune;http://www.alvdal.kommune.no;38;99;38;2;13;30;15;33;10;36
13195;09/01/2010 15:02:49;Andebu kommune;http://www.andebu.kommune.no;74;99;75;5;22;30;23;33;29;36
13150;08/31/2010 12:42:45;Andøy kommune;http://www.andoy.net/;61;99;62;4;20;30;27;33;14;36
13968;10/05/2010 15:39:35;Arbeids- og velferdsetaten;http://www.nav.no/;64;99;65;4;23;30;25;33;16;36
13856;10/01/2010 10:01:38;Arbeidsdepartementet;http://www.regjeringen.no/nb/dep/ad.html;78;99;79;5;28;30;27;33;23;36
13967;10/05/2010 15:38:49;Arbeidstilsynet;http://www.arbeidstilsynet.no/;62;99;63;4;23;30;22;33;17;36
13115;08/27/2010 12:13:56;Aremark kommune;http://www.aremark.kommune.no;78;99;79;5;24;30;25;33;29;36
13205;09/02/2010 08:07:46;Arendal kommune;http://www.arendal.kommune.no/;69;99;70;5;27;30;17;33;25;36
14012;10/07/2010 10:50:34;Arkitektur- og designhøgskolen i Oslo;http://www.aho.no/;63;99;64;4;20;30;21;33;22;36
13208;09/02/2010 10:53:19;Asker kommune;http://www.asker.kommune.no/;79;99;80;6;17;30;30;33;32;36
13148;08/31/2010 11:13:07;Askim kommune;http://www.askim.kommune.no;84;99;85;6;24;30;29;33;31;36
13147;08/31/2010 10:31:58;Askvoll kommune;http://www.askvoll.kommune.no/;60;99;61;4;23;30;16;33;21;36
13186;09/01/2010 12:11:15;Askøy kommune;http://www.askoy.kommune.no/;60;99;61;4;15;30;24;33;21;36
13216;09/02/2010 13:48:26;Audnedal kommune;http://www.audnedal.kommune.no/;67;99;68;4;19;30;23;33;25;36
13220;09/02/2010 18:18:00;Aukra kommune;http://www.aukra.kommune.no/;54;99;55;3;12;30;20;33;22;36
13253;09/03/2010 17:39:02;Aure kommune;http://www.aure.kommune.no/;86;99;87;6;26;30;28;33;32;36
13206;09/02/2010 09:33:44;Aurland kommune;http://www.aurland.kommune.no;77;99;78;5;28;30;24;33;25;36
13255;09/06/2010 08:17:56;Aurskog-Høland kommune;http://www.aurskog-holand.kommune.no/;74;99;75;5;22;30;28;33;24;36
13930;10/04/2010 17:21:05;Aust-Agder fylkeskommune;http://www.austagderfk.no/;66;99;67;4;17;30;23;33;26;36
13230;09/03/2010 12:27:21;Austevoll kommune;http://www.austevoll.kommune.no/;28;99;28;1;7;30;16;33;5;36
13305;09/07/2010 12:13:45;Austrheim kommune;http://www.austrheim.kommune.no;53;99;54;3;22;30;14;33;17;36
13252;09/03/2010 17:38:17;Averøy kommune;http://www.averoy.kommune.no/;67;99;68;4;24;30;22;33;21;36
14036;10/07/2010 14:26:35;Avinor;http://www.avinor.no;64;99;65;4;20;30;23;33;21;36
14747;11/12/2010 13:07:19;Balestrand kommune;http://www.balestrand.kommune.no;84;99;85;6;29;30;31;33;24;36
13185;09/01/2010 11:09:44;Ballangen kommune;http://www.ballangen.kommune.no/;56;99;57;3;22;30;22;33;12;36
13273;09/06/2010 12:42:37;Balsfjord kommune;http://www.balsfjord.kommune.no/;72;99;73;5;23;30;23;33;26;36
13266;09/06/2010 10:16:16;Bamble kommune;http://www.bamble.kommune.no/;80;99;81;6;23;30;26;33;31;36
13315;09/07/2010 14:31:36;Bardu kommune;http://www.bardu.kommune.no/;66;99;67;4;19;30;23;33;24;36
13860;10/01/2010 12:38:19;Barne-, likestillings- og inkluderingsdepartementet;http://www.regjeringen.no/nb/dep/bld.html;76;99;77;5;27;30;27;33;22;36
13935;10/04/2010 20:35:12;Barne-, ungdoms- og familiedirektoratet;http://www.bufetat.no;70;99;73;5;27;30;33;33;10;36
14060;10/08/2010 10:52:15;Barneombudet;http://www.barneombudet.no/;56;99;57;3;11;30;22;33;23;36
13196;09/01/2010 16:02:26;Beiarn kommune;http://www.beiarn.kommune.no;44;99;44;3;17;30;18;33;9;36
13585;09/20/2010 10:16:50;Berg kommune;http://www.berg.kommune.no;55;99;56;3;22;30;27;33;6;36
13366;09/10/2010 08:54:41;Bergen kommune;http://www.bergen.kommune.no/;75;99;76;5;21;30;24;33;30;36
13135;08/30/2010 14:54:48;Berlevåg kommune;http://www.berlevag.kommune.no;67;99;68;4;22;30;27;33;18;36
13225;09/03/2010 09:56:32;Bindal kommune;http://www.bindal.kommune.no;47;99;47;3;13;30;22;33;12;36
13905;10/04/2010 09:22:30;Bioforsk;http://www.bioforsk.no;57;99;58;4;21;30;20;33;16;36
13927;10/04/2010 15:20:11;Bioteknologinemnda;http://www.bion.no/;76;99;77;5;20;30;31;33;25;36
