north,east,zone,longitude,latitude
6544002,312219,32,5.731247742566333,58.99422484649623
6544108,311677,32,5.721740423761619,58.994937008324186
6544245,315300,32,5.784577722321071,58.997744924392286
6541328,304681,32,5.602656825898109,58.96687816006459
6541192,304847,32,5.605658318814022,58.96573459747657
6541521,304651,32,5.601965619991291,58.96859470300183
6540575,305423,32,5.61619918457998,58.960465222985846
6545155,312119,32,5.728528782280138,59.00451875237923
6543482,309215,32,5.679506339082069,58.98823377048713
6542493,309598,32,5.687011607154397,58.97953732214049
6540750,309906,32,5.693858869394546,58.96404694443292
6539946,309353,32,5.684952239758317,58.956592784106505
6541334,305111,32,5.610115731568172,58.967127824968486
6545254,311973,32,5.7259069873467645,59.00534221861867
6545194,312317,32,5.731936784342074,59.00495536660132
6544623,313053,32,5.745212316926542,59.000158068529714
6544059,312331,32,5.7331452382764265,58.994785054342444
6544241,313144,32,5.747117085028055,58.9967727543613
6543674,314175,32,5.765509314408629,58.99213793234165
6544008,313269,32,5.749486180451907,58.99473821123444
6543813,313351,32,5.75107578625876,58.9930255818749
6544208,311992,32,5.727128316292646,58.995972150599385
6544689,311593,32,5.7197850429704165,59.00010923043775
6544626,311492,32,5.7180837522009345,58.99949987875888
6545429,311907,32,5.7246106989135,59.006882238246824
6544519,312794,32,5.740799717544116,58.99911231620494
6544761,311414,32,5.716612995376517,59.00067589352959
6543660,312906,32,5.7434739362868115,58.99145940360014
6543509,313054,32,5.746173021008104,58.99017019946901
6543613,314092,32,5.764118626824103,58.99155493112734
6543949,312088,32,5.7290167954402405,58.99369213100145
6540322,306279,32,5.63127714126648,58.95858495791376
6541668,305085,32,5.609370062724366,58.97011029112964
6541964,305212,32,5.6113140788222395,58.97282170806274
6540469,306193,32,5.629655902240117,58.959863943574014
6543544,310003,32,5.69314118610333,58.98914022586658
6542104,309841,32,5.691566306660466,58.97615767556325
6542506,310253,32,5.6983755084999625,58.97994470319313
6542201,310278,32,5.699071484382207,58.97722122466564
6543825,309185,32,5.678688874394924,58.99129558529864
6542815,309351,32,5.682444345621011,58.98231432099058
6544330,309225,32,5.678947423031238,58.9958410326116
6544137,309548,32,5.684725875751839,58.994254582230305
6542689,309698,32,5.688579464320036,58.98133905932013
6540799,309444,32,5.685797018542294,58.964280986697446
6544331,309099,32,5.676757387989768,58.9957937927431
6540891,309831,32,5.692435769453137,58.96527782195529
6541409,304759,32,5.603939293046961,58.96763988078609
6540938,309627,32,5.688854045632725,58.96560858958565
6543757,308758,32,5.671329919694717,58.990495301983955
6543775,312999,32,5.7449922684865395,58.99253116673112
6543363,312576,32,5.7379928198354975,58.98865205123188
6543215,312487,32,5.736572373773759,58.98728608060143
6545018,311655,32,5.7205816322893055,59.00308632649555
6539838,307627,32,5.6550925569984845,58.954853088344805
6539725,307631,32,5.655260157423273,58.95384179346346
6541917,305109,32,5.60956726099545,58.97235348898577
6542708,310092,32,5.695405880749643,58.98168438797372
6542432,309789,32,5.69038108586979,58.979075324038796
6544477,309374,32,5.681409275144846,58.997225390906344
6543877,309370,32,5.681857833823627,58.99184425561113
6543850,309673,32,5.687144978605113,58.991737068748975
6540084,309304,32,5.683982966328115,58.957808240559636
6548939,313831,32,5.755086616349773,59.03919563907678
6541047,310060,32,5.696277106619972,58.966778090838076
6543373,309646,32,5.68708704376468,58.98744844637242
6540937,305043,32,5.609285197350324,58.963537787359606
6544177,308817,32,5.671991203711162,58.99428717876936
6539644,307849,32,5.659113391643666,58.95321339995739
6539693,309034,32,5.67963434359104,58.95418242647136
6538258,307137,32,5.64796523630496,58.94046759221503
6539597,307563,32,5.654191415741691,58.95266369160835
6539680,308020,32,5.662049480268887,58.95361279757666
6538534,307548,32,5.6548547750880225,58.94312672994772
6538466,307421,32,5.6527107540346355,58.94246005209895
6539982,310084,32,5.697607825164383,58.95724018385987
6540074,310093,32,5.697685087784805,58.958069025268586
6539696,306164,32,5.6298294767247725,58.95292075163424
6538394,307292,32,5.650535601875746,58.9417565789329
6538663,308667,32,5.674155519956772,58.94478417193217
6537871,306618,32,5.639300398370939,58.93676425716395
6539128,308524,32,5.671272707394408,58.94888930888486
6541143,309394,32,5.684632687296292,58.96734292659984
6543377,309902,32,5.691530420025686,58.987598101069686
6539447,309381,32,5.685867818597105,58.9521313668162
6539113,309066,32,5.680689771777871,58.94899661617193
6538576,309312,32,5.685420391268771,58.94429155943351
6538464,310055,32,5.6984065683074,58.94361725050679
6541564,312100,32,5.731253496396439,58.97231338999761
6541272,311257,32,5.71686549433235,58.96932459612265
6539314,309671,32,5.691014396534755,58.951067818255765
6539416,309835,32,5.69377254961462,58.95205512741351
6538872,308764,32,5.675657913419508,58.946701266503595
6541437,311354,32,5.718408834734742,58.970846717740336
6541982,310317,32,5.699936652220382,58.9752749999554
6538841,309705,32,5.692010784902383,58.946842119456434
6541607,311207,32,5.715711409850574,58.972306143869574
6542059,310541,32,5.703760303843188,58.97606454552936
6541172,311629,32,5.72340926228129,58.96859178349714
6541912,313024,32,5.747003257525991,58.97583809278777
6541111,310448,32,5.70295801276589,58.96752379475285
6541392,312475,32,5.73791069996758,58.97093560484806
6542680,312731,32,5.741264437504029,58.982596039581374
6542134,310909,32,5.710086459808831,58.976899671812404
6542459,310953,32,5.710572559522733,58.979833011781174
6541959,311261,32,5.716348532953768,58.9754859565813
6542608,310553,32,5.70349811396004,58.98099208552633
6542141,311400,32,5.718606967622662,58.977179010488534
6542062,310308,32,5.699711726488905,58.975988274991394
6542259,310769,32,5.707548295498384,58.97795854679759
6542057,310761,32,5.707582302569331,58.97614390962277
6542296,310991,32,5.711371898147997,58.978388353288345
6542466,311326,32,5.717044472129899,58.980060333131064
6538984,310181,32,5.700146887859958,58.94833528931902
6538762,309989,32,5.697005970809345,58.94625981004442
6538716,310099,32,5.6989538856470885,58.94589612924605
6538596,310040,32,5.698033158848541,58.94479409066797
6541488,311506,32,5.721004470392132,58.97137091491817
6541510,311604,32,5.7226872858917295,58.97161129276756
6541661,311708,32,5.724364453111973,58.973010901908886
6541556,311796,32,5.725981833958835,58.972108157429595
6541013,310833,32,5.709725682762905,58.96681535867562
6541208,310753,32,5.708170016454429,58.96852836182511
6540829,310791,32,5.7091539291667015,58.965147085359284
6541632,312372,32,5.735918677087698,58.973042354402175
6539262,310156,32,5.699474805277815,58.950816713123736
6539320,310011,32,5.696908991458859,58.95127247394599
6540531,310488,32,5.704149284098824,58.96234131396735
6538315,309431,32,5.687709371289609,58.9420044254877
6542180,312962,32,5.745699826490716,58.978213951184806
6542191,311176,32,5.714674351383388,58.97752857036687
6542315,311330,32,5.717242845398114,58.97870824059994
6539509,309948,32,5.695653575183481,58.95293907205107
6538182,309449,32,5.6881359986470255,58.940819985322605
6540929,310444,32,5.703044532966144,58.96589024514101
6541448,310885,32,5.710256467122511,58.9707384820634
6540704,310777,32,5.709017809894761,58.964020166168105
6540942,311302,32,5.71792830444687,58.96638566207697
6542569,312925,32,5.744727973342355,58.98168562752156
6541862,310722,32,5.707072023776313,58.97437833026671
6542754,312388,32,5.73524413082231,58.98310932733942
6541302,313004,32,5.747171848576457,58.97035997305863
6539133,309508,32,5.6883417069420155,58.949372604875705
6540625,311623,32,5.72377090594928,58.963684739143865
6540196,311614,32,5.723979909332828,58.95983436094214
6540251,310604,32,5.706402462828622,58.95988217588323
6540362,311405,32,5.720210821839345,58.96123076124598
6541379,311892,32,5.727799278787348,58.97056335141975
6542390,311180,32,5.714573809714754,58.97931455048092
6538754,309303,32,5.685111028327146,58.94588344868477
6541272,312352,32,5.73587689109204,58.96980579152436
6541120,312691,32,5.741891471706921,58.968591341852786
6541212,313162,32,5.749991208306451,58.96962197537621
6539095,311156,32,5.716969598188296,58.94976120275505
6540849,312418,32,5.737381545291749,58.96604203480037
6539400,311793,32,5.7277636240347105,58.95277605498706
6540481,313477,32,5.7560767974384826,58.96320492826943
6540364,313675,32,5.759612480269154,58.9622420381562
6539766,313242,32,5.752600760904972,58.95669165263539
6540546,313891,32,5.763208923578703,58.9639678129909
6540397,313551,32,5.757432173514152,58.96248397390785
6538998,310575,32,5.706971202547059,58.94863512086896
6541128,312718,32,5.742353465894989,58.96867487915155
6540385,312014,32,5.730762224357324,58.96170465349644
6539537,311895,32,5.729417296792601,58.95404919227647
6539807,312268,32,5.73566150149337,58.95663362116682
6539715,312328,32,5.736780841724299,58.95583502090511
6539385,311032,32,5.7145704922662635,58.95230667306008
6539247,310821,32,5.71102689406825,58.9509762845087
6540335,312976,32,5.747503247919029,58.96167741423117
