tailid,parentid,orgstructid,name_nb,name_nn,name_en,orgid,kommunenummer
43163,25005,37,Tollregion Oslo og Akershus - Alnabru tollkontor,Tollregion Oslo og Akershus - Alnabru tollkontor,Customs Region Oslo and Akershus - Alnabru local office,,
28424,32263,39,Sykehuset Innlandet Reinsvoll,Sykehuset Innlandet Reinsvoll,Sykehuset Innlandet Reinsvoll,,
34331,,81,Kirkens SOS,Kirkens SOS,Kirkens SOS,,
34337,,81,Barn og unges kontakttelefon i Røde Kors,Barn og unges kontakttelefon i Røde Kors,Barn og unges kontakttelefon i Røde Kors,,
34334,32189,34,Røyketelefonen,Røyketelefonen,Røyketelefonen,,
43164,25005,37,Tollregion Oslo og Akershus - Gardermoen tollkontor,Tollregion Oslo og Akershus - Gardermoen tollkontor,Customs Region Oslo and Akershus - Gardermoen local office,,
43165,25005,37,Tollregion Oslo og Akershus - Skippergata tollkontor,Tollregion Oslo og Akershus - Skippergata tollkontor,Customs Region Oslo and Akershus - Skippergata local office,,
34521,26293,73,Balestrand folkebibliotek,Balestrand folkebibliotek,Balestrand Public Library,,
34522,35821,39,Konfliktrådet i Østfold,Konfliktrådet i Østfold,Østfold Mediation and Reconciliation Service,,
34523,35821,39,Konfliktrådet i Oslo og Akershus,Konfliktrådet i Oslo og Akershus,Oslo and Akershus Mediation and Reconciliation Service,,
25983,42983,39,Høgskolen i Harstad,Høgskolen i Harstad,Harstad University College,971512512,
25984,42983,39,Høgskolen i Hedmark,Høgskolen i Hedmark,Hedmark University College,974251760,
25985,42983,39,Høgskolen i Lillehammer,Høgskolen i Lillehammer,Lillehammer University College,975264793,
25986,25109,39,"Husbanken, Region Bodø","Husbanken, Region Bodø",Norwegian State Housing Bank - Regional Office Bodø,,
25867,,66,Lund kommune,Lund kommune,Lund Municipality,964966486,1112
25868,,66,Lunner kommune,Lunner kommune,Lunner Municipality,961381452,0533
25869,,66,Lurøy kommune,Lurøy kommune,Lurøy Municipality,940667852,1834
25870,26375,76,"Ambassaden i Zambia, Lusaka","Ambassaden i Zambia, Lusaka","Royal Norwegian Embassy in Lusaka, Zambia",,
25871,,66,Luster kommune,Luster kommune,Luster Municipality,,1426
25872,,66,Lyngdal kommune,Lyngdal kommune,Lyngdal Municipality,946485764,1032
25873,,66,Lyngen kommune,Lyngen kommune,Lyngen Municipality,840014932,1938
25875,,66,Lærdal kommune,Lærdal kommune,Lærdal Municipality,,1422
25876,,66,Lødingen kommune,Lødingen kommune,Lødingen Municipality,945468661,1851
25877,,66,Lørenskog kommune,Lørenskog kommune,Lørenskog Municipality,842566142,0230
25878,,66,Løten kommune,Løten kommune,Løten Municipality,964950679,0415
25879,26375,76,"Ambassaden i Spania, Madrid (Andorra)","Ambassaden i Spania, Madrid (Andorra)",Royal Norwegian Embassy in Spain (Andorra),,
25880,,66,Malvik kommune,Malvik kommune,Malvik Municipality,971035560,1663
25882,,66,Krødsherad kommune,Krødsherad kommune,Krødsherad Municipality,964962855,0622
25883,26375,76,"Ambassaden i Malaysia, Kuala Lumpur (Brunei)","Ambassaden i Malaysia, Kuala Lumpur (Brunei)",Royal Norwegian Embassy in Malaysia (Brunei),,
25885,,66,Kvalsund kommune,Kvalsund kommune,Kvalsund Municipality,,2017
25886,,66,Kvam herad,Kvam herad,Kvam Municipality,944233199,1238
25887,,66,Kvinesdal kommune,Kvinesdal kommune,Kvinesdal Municipality,964964076,1037
25888,,66,Kvinnherad kommune,Kvinnherad kommune,Kvinnherad Municipality,964967636,1224
25889,,66,Kviteseid kommune,Kviteseid kommune,Kviteseid Municipality,964963827,0829
42653,32229,39,Salten distriktspsykiatriske senter - DPS Bodø,Salten distriktspsykiatriske senter - DPS Bodø,Salten District Psychiatric Centre¨- Bodø,,
42654,21418,39,Sandnes DPS,Sandnes DPS ,Sandnes District Psychiatric Centre,,
33297,,77,Libanons ambassade,Libanons ambassade,Embassy of the Lebanese Republic,,
33298,,77,Libyas ambassade,Libyas ambassade,Embassy of Libya,,
41622,22317,37,Setesdal trafikkstasjon,Setesdal trafikkstasjon,Setesdal Traffic Services Office,,
21641,26006,39,Nordhordland lensmannsdistrikt,Nordhordland lensmannsdistrikt,Nordhordland Police Station (lensmannsdistrikt) ,,
33294,,77,Kypros' ambassade, ,Embassy of Cyprus,,
21607,26006,39,Os lensmannskontor,Os lensmannskontor,Os Police Station (lensmann) ,,
33301,,77,Luxembourgs ambassade,Luxembourgs ambassade,Embassy of Luxembourg,,
26972,25213,64,Østfold Fylkesbibliotek,Østfold Fylkesbibliotek,Østfold County Library,,
26973,,66,Asker kommune,Asker kommune,Asker Municipality,944382038,0220
26331,,66,Alstahaug kommune,Alstahaug kommune,Alstahaug Municipality,938712441,1820
26332,26375,76,"Ambassaden i Jordan, Amman (Irak)","Ambassaden i Jordan, Amman (Irak)",Royal Norwegian Embassy in Jordan (Iraq),,
26333,26375,76,"Ambassaden i Tyrkia, Ankara","Ambassaden i Tyrkia, Ankara",Royal Norwegian Embassy in Turkey,,
26339,26453,33,Sjøfartsdirektoratet,Sjøfartsdirektoratet,Norwegian Maritime Directorate,974761262,
26340,,12,Stortinget,Stortinget,Storting (Norwegian Parliament),971524960,
