tailid,parentid,orgstructid,name_nb,name_nn,name_en,orgid,kommunenummer
26311,,66,Birkenes kommune,Birkenes kommune,Birkenes Municipality,964965870,0928
26313,,81,ANSA,ANSA,Association of Norwegian Students Abroad,970168907,
26314,,81,Rødt,Rødt,Red Party,971491450,
24729,26065,37,NAV Giske,NAV Giske,NAV Giske,,
24730,26065,37,NAV Gjemnes ,NAV Gjemnes ,NAV Gjemnes,,
24732,26094,37,NAV Gjerdrum ,NAV Gjerdrum ,NAV Gjerdrum ,,
24733,26095,37,NAV Gjerstad ,NAV Gjerstad ,NAV Gjerstad ,,
23973,40183,37,Skatt Midt-Norge Surnadal,Skatt Midt-Norge Surnadal,Surnadal Tax Office,,
32865,,77,Andorra - utenriksrepresentasjon,Andorra - utenriksrepresentasjon,Andorra - Ministry of Foreign Affairs and Institutional Relations,,
32866,,77,Angolas ambassade,Angolas ambassade,Republic of Angola's Embassy to the Nordic Countries,974278014,
32867,,77,Armenia - utenriksrepresentasjon,Armenia - utenriksrepresentasjon,Republic of Armenia's Ministry of Foreign Affairs,,
40762,25323,39,Berlevåg lensmannskontor,Berlevåg lensmannskontor,Berlevåg Police Station (lensmann) ,,
32868,,77,Australias ambassade,Australias ambassade,"Australian Embassy in Denmark, accredited to Norway and Iceland",,
26060,26549,36,NAV Troms ,NAV Troms ,NAV Troms office ,974652293,
32881,,58,Domstoladministrasjonen ,Domstoladministrasjonen ,National Courts Administration,,
22672,25827,73,Meråker bibliotek,Meråker bibliotek,Meråker  Public Library,,
22673,25939,73,Mosvik bibliotek,Mosvik bibliotek,Mosvik  Public Library,,
22674,25820,73,Namdalseid folkebibliotek,Namdalseid folkebibliotek,Namdalseid  Public Library,,
22675,22676,73,Namsos folkebibliotek,Namsos folkebibliotek,Namsos  Public Library,,
22677,25713,73,Nærøy folkebibliotek,Nærøy folkebibliotek,Nærøy  Public Library,,
22678,25660,73,Overhalla folkebibliotek,Overhalla folkebibliotek,Overhalla  Public Library,,
22679,25607,73,Røyrvik bibliotek,Røyrvik bibliotek,Røyrvik  Public Library,,
22680,25515,73,Snåsa bibliotek,Snåsa bibliotek,Snåsa Public Library,,
22681,25386,73,Steinkjer folkebibliotek,Steinkjer folkebibliotek,Steinkjer Public Library,,
22682,25388,73,Stjørdal folkebibliotek,Stjørdal folkebibliotek,Stjørdal  Public Library,,
22683,25253,73,Verdal bibliotek,Verdal bibliotek,Verdal  Public Library,,
22685,25772,64,"Nordland fylkesbibliotek, avd. Narvik","Nordland fylkesbibliotek, avd. Narvik","Nordland County Library, Narvik branch",,
22686,25772,64,"Nordland fylkesbibliotek, avd. Rana","Nordland fylkesbibliotek, avd. Rana","Nordland County Library, Rana branch",,
22687,25514,73,Snillfjord folkebibliotek,Snillfjord folkebibliotek,Snillfjord  Public Library,,
22688,25301,73,Trondheim folkebibliotek,Trondheim folkebibliotek,Trondheim Public Library,,
22689,25286,73,Tydal bibliotek,Tydal bibliotek,Tydal Public Library,,
22510,,77,Østerrikes ambassade,Østerrikes ambassade,Embassy of the Republic of Austria,981246993,
22511,,77,Irans ambassade,Irans ambassade,Embassy of the Islamic Republic of Iran,988561959,
22512,,77,Brasils ambassade,Brasils ambassade,Embassy of Brazil in Oslo,976520114,
22513,,77,Israels ambassade,Israels ambassade,Embassy of the State of Israel,985412480,
22514,,77,Canadas ambassade,Canadas ambassade,Embassy of Canada,994520997,
22515,,77,Chiles ambassade,Chiles ambassade,Embassy of Chile in Norway,,
22516,,77,Japans ambassade,Japans ambassade,Embassy of Japan,994577999,
22517,,77,Nord-Koreas ambassade,Nord-Koreas ambassade,Embassy of the Democratic People's Republic of Korea,,
22518,,77,Kinas ambassade,Kinas ambassade,Embassy of the People's Republic of China,983184308,
22519,,77,Costa Ricas ambassade,Costa Ricas ambassade,Embassy of Costa Rica,993396168,
22526,,55,Matmerk,Matmerk,Matmerk,990675627,
22527,31205,39,Kriminalomsorgen Ullersmo fengsel,Kriminalomsorgen Ullersmo fengsel,Ullersmo Prison Service,,
22528,22103,39,"Kriminalomsorgen Bredtveit fengsel, forvarings- og sikringsanstalt","Kriminalomsorgen Bredtveit fengsel, forvarings- og sikringsanstalt","Bredtveit Prison Service, custody and supervision unit",,
22529,31205,39,"Kriminalomsorgen Ila fengsel, forvarings- og sikringsanstalt","Kriminalomsorgen Ila fengsel, forvarings- og sikringsanstalt","Ila Prison Service, custody and supervision unit",,
22530,31204,39,Kriminalomsorgen Bastøy fengsel,Kriminalomsorgen Bastøy fengsel,Bastøy Prison Service,,
22531,31202,39,Kriminalomsorgen Bergen fengsel,Kriminalomsorgen Bergen fengsel,Bergen Prison Service,,
22534,20536,33,Finanstilsynet,Finanstilsynet,Financial Supervisory Authority of Norway,840747972,
22539,33761,37,Storslett trafikkstasjon,Storslett trafikkstasjon,Storslett Traffic Services Office,,
22540,33761,37,Mo i Rana trafikkstasjon,Mo i Rana trafikkstasjon,Mo Traffic Services Office,,
22542,33761,37,Tromsø trafikkstasjon,Tromsø trafikkstasjon,Tromsø Traffic Services Office,,
25374,26520,36,Statsarkivet i Kristiansand,Statsarkivet i Kristiansand,Regional State Archives in Kristiansand,,
25375,26520,36,Statsarkivet i Oslo,Statsarkivet i Oslo,Regional State Archives in Oslo,,
25376,26520,36,Statsarkivet i Stavanger,Statsarkivet i Stavanger,Regional State Archives in Stavanger,,
25377,26520,36,Statsarkivet i Tromsø,Statsarkivet i Tromsø,Regional State Archives in Tromsø,,
25378,26520,36,Statsarkivet i Trondheim,Statsarkivet i Trondheim,Regional State Archives in Trondheim,,
25379,26698,44,"Statsbygg, region nord","Statsbygg, region nord",Statsbygg Northern Norway,,
25380,26698,44,"Statsbygg, region vest","Statsbygg, region vest",Statsbygg Western Norway,,
25381,20537,49,Statskog SF,Statskog SF,"Statskog SF, the State-owned Land and Forest Company (HQ)",,
25382,40948,19,Stavanger tingrett,Stavanger tingrett,Stavanger District Court,,
25383,,66,Stavanger kommune,Stavanger kommune,Stavanger Municipality,939508295,1103
25384,25652,39,Stavanger politistasjon,Stavanger politistasjon,Stavanger Police Station ,,
25385,,66,Steigen kommune,Steigen kommune,Steigen Municipality,962299385,1848
25386,,66,Steinkjer kommune,Steinkjer kommune,Steinkjer Municipality,840029212,1702
25387,27125,55,Miljømerking i Norge,Miljømerking i Noreg,Norwegian Foundation for Environmental Labelling,971279362,
25388,,66,Stjørdal kommune,Stjørdal kommune,Stjørdal Municipality,939958851,1714
25389,26375,76,"Ambassaden i Sverige, Stockholm","Ambassaden i Sverige, Stockholm",Royal Norwegian Embassy in Sweden,,
24697,26063,37,NAV Grue,NAV Grue,NAV Grue ,,
24699,26057,37,NAV Gulen,NAV Gulen,NAV Gulen,,
24701,26052,37,NAV Hadsel ,NAV Hadsel ,NAV Hadsel ,,
24702,26066,37,NAV Halden,NAV Halden,NAV Halden,,
24703,26065,37,NAV Halsa ,NAV Halsa ,NAV Halsa  ,,
24704,26063,37,NAV Hamar ,NAV Hamar ,NAV Hamar ,,
24705,26052,37,NAV Hamarøy ,NAV Hamarøy ,NAV Hamarøy ,,
24707,26065,37,NAV Haram ,NAV Haram ,NAV Haram ,,
24708,26065,37,NAV Hareid ,NAV Hareid ,NAV Hareid,,
24711,26097,37,NAV Hasvik,NAV Hasvik,NAV Hasvik ,,
24713,26066,36,NAV Arbeidsrådgivning Østfold,NAV Arbeidsrådgivning Østfold,NAV Career Advice Office (Østfold),,
26048,,66,Hasvik kommune,Hasvik kommune,Hasvik Municipality,,2015
26049,,66,Hattfjelldal kommune,Hattfjelldal kommune,Hattfjelldal Municipality,944716904,1826
26050,,66,Haugesund kommune,Haugesund kommune,Haugesund Municipality,944073787,1106
26051,29872,39,Haugaland og Sunnhordland politidistrikt,Haugaland og Sunnhordland politidistrikt,Haugaland og Sunnhordland Police District,983998380,
26052,26549,36,NAV Nordland ,NAV Nordland ,NAV Nordland office,975605779,
26054,26549,36,NAV Oppland ,NAV Oppland ,NAV Oppland office,974652218,
26056,26549,36,NAV Rogaland ,NAV Rogaland ,NAV Rogaland office ,974652285,
26057,26549,36,NAV Sogn og Fjordane ,NAV Sogn og Fjordane ,NAV Sogn og Fjordane office ,,
26058,26549,36,NAV Sør-Trøndelag ,NAV Sør-Trøndelag ,NAV Sør-Trøndelag office,974652234,
26059,26549,36,NAV Telemark,NAV Telemark,NAV Telemark office,974241730,
25459,40948,19,Gjøvik tingrett,Gjøvik tingrett,Gjøvik District Court,,
25461,40948,19,Valdres tingrett,Valdres tingrett,Valdres District Court,,
25464,40948,19,Vest-Telemark tingrett,Vest-Telemark tingrett,Vest-Telemark District Court,,
25469,,66,Sortland kommune,Sortland kommune,Sortland Municipality,847737492,1870
25470,,81,Sosialistisk Venstreparti,Sosialistisk Venstreparti,Socialist Left Party,971526971,
25471,,66,Spydeberg kommune,Spydeberg kommune,Spydeberg Municipality,864947352,0123
25472,,66,Stange kommune,Stange kommune,Stange Municipality,970169717,0417
27927,26551,36,Telemark sivilforsvarsdistrikt,Telemark sivilforsvarsdistrikt,Telemark Civil Defence District,,
43430,32263,39,BUP Kongsvinger,BUP Kongsvinger,Mental health clinic for children and adolescents Kongsvinger,,
43431,32263,39,BUP Otta,BUP Otta ,Mental health clinic for children and adolescents Otta,,
43682,20530,38,Norsk lokalhistorisk institutt,Norsk lokalhistorisk institutt,The Norwegian Institute of Local History,974770458,
27183,,77,Bulgarias ambassade,Bulgarias ambassade,Embassy of the Republic of Bulgaria,979238983,
27193,,77,Belgias ambassade,Belgias ambassade,Embassy of Belgium,880179802,
27197,,81,Leieboerforeningen,Leieboerforeningen,Tentant 's Organization ,970015868,
27199,20528,89,Arbeidsforskningsinstituttet AS,Arbeidsforskingsinstituttet AS,Work Research Institute,984635818,
27204,,77,Argentinas ambassade,Argentinas ambassade,Argentine Embassy ,974278014,
23635,23699,73,"Deichmanske bibliotek, Bøler filial","Deichmanske bibliotek, Bøler filial","Oslo Public Library, Bøler branch",,
26453,,27,Nærings- og handelsdepartementet,Nærings- og handelsdepartementet,Ministry of Trade and Industry,972417890,
26456,26479,33,Direktoratet for naturforvaltning,Direktoratet for naturforvaltning,Directorate for Nature Management ,971036028,
41502,24173,50,Statnett region midt-Norge,Statnett region midt-Norge,Statnett,,
33521,20528,121,Utdanning.no,Utdanning.no,Utdanning.no,,
41503,24173,50,Statnett region Nord-Norge,Statnett region Nord-Norge,Statnett ,,
41982,41946,57,BUP Vest (Oslo),BUP Vest (Oslo),Mental health clinic for children and adolescents Vest (Oslo),,
41984,32258,39,BUP Furuset,BUP Furuset,Mental health clinic for children and adolescents Furuset,,
33602,26094,36,NAV Arbeidslivssenter Akershus,NAV Arbeidslivssenter Akershus,NAV Employment Support Centre (Akershus),,
41985,42285,39,BUP Tøyen (Bjerke),BUP Tøyen (Bjerke),Mental health clinic for children and adolescents Tøyen,,
41986,32258,39,BUP Grorud ,BUP Grorud ,Grorud Mental health clinic for children and adolescents,,
42444,32252,39,DPS Porsgrunn/Vestmar ,DPS Porsgrunn/Vestmar,Porsgrunn District Psychiatric Centre,,
42443,32226,39,DPS Øst-Finnmark - Tana,DPS Øst-Finnmark - Tana,Øst-Finnmark District Psychiatric Centre,,
42445,32252,39,DPS Skien - distriktspsykiatrisk senter,DPS Skien - distriktspsykiatrisk senter,Skien District Psychiatric Centre,,
26396,32161,42,Bioteknologinemnda,Bioteknologinemnda,Norwegian Biotechnology Advisory Board,980633446,
26397,32189,34,Giftinformasjonen,"Helsedirektoratet, giftinformasjonen",National Poison Centre in Norway,,
33623,,81,Transportklagenemnda,Transportklagenemnda,Passenger Complaints Council,,
33624,,81,LEVE - Landsforeningen for etterlatte ved selvmord,LEVE - Landsforeningen for etterlatte ved selvmord,LEVE - Norwegian Society for Suicide Survivors ,981666437,
26401,26420,58,Statens havarikommisjon for transport,Statens havarikommisjon for transport,Accident Investigation Board  Norway,881143712,
33662,,104,EFTAs overvåkningsorgan,EFTAs overvåkningsorgan,EFTA Surveillance Authority,,
26403,26420,89,NSB - Norges Statsbaner AS,NSB - Norges Statsbaner AS,Norwegian State Railways,,
26404,26420,89,Avinor AS,Avinor AS,Avinor ,985198292,
25753,42983,39,Norges veterinærhøgskole,Noregs veterinærhøgskole,Norwegian School of Veterinary Science,971033525,
42446,32249,39,DPS Solvang - distriktspsykiatrisk senter,DPS Solvang - distriktspsykiatrisk senter,Solvang District Psychiatric Centre,,
25755,,90,Norsk Designråd,Norsk Designråd,Norwegian Design Council,975259560,
25757,42983,39,Norges musikkhøgskole,Noregs musikkhøgskole,Norwegian Academy of Music,974761106,
25761,25300,39,Norges fiskerihøgskole,Noregs fiskerihøgskole,Norwegian College of Fishery Science,,
25764,42983,39,Norges idrettshøgskole,Noregs idrettshøgskole,Norwegian School of Sport Sciences,971526033,
25765,26375,30,Norges internasjonale pressesenter - Nips,Norges internasjonale pressesenter - Nips,Norway International Press Center,,
32598,34847,39,Fosterhjemstjenesten Sarpsborg (Østfold),Fosterheimstenesta Sarpsborg (Østfold),Sarpsborg foster care services (Østfold),,
32599,34846,39,Bufetat Arendal fosterhjemstjeneste (Aust-Agder),Bufetat Arendal fosterhjemstjeneste (Aust-Agder),Arendal foster care services,,
32600,34846,39,Bufetat Kristiansand fosterhjemstjeneste (Vest-Agder) ,Bufetat Kristiansand fosterhjemsteneste (Vest-Agder),Kristiansand foster care services (Vest-Agder),,
23838,26057,36,NAV Arbeidslivssenter Sogn og Fjordane,NAV Arbeidslivssenter Sogn og Fjordane,NAV Employment Support Centre (Sogn og Fjordane),,
23995,40183,37,Skatt Midt-Norge Steinkjer,Skatt Midt-Noreg Steinkjer,Steinkjer Tax Office,,
23996,40183,37,Skatt Midt-Norge Stjørdal,Skatt Midt-Noreg Stjørdal,Stjørdal Tax Office,,
23760,26058,36,NAV Aarbeidslivssenter Sør-Trøndelag,NAV Aarbeidslivssenter Sør-Trøndelag,"NAV Employment Support Centre (Trondheim, Sør-Trøndelag)",,
24001,40184,37,Skatt vest Stord,Skatt vest Stord,Stord Tax Office,,
24255,26052,37,NAV Træna,NAV Træna,NAV Træna,,
26281,26375,76,"Ambassaden i Sør-Afrika, Pretoria (Madagaskar, Lesotho, Namibia, Botswana)","Ambassaden i Sør-Afrika, Pretoria (Madagaskar, Lesotho, Namibia, Botswana)","Royal Norwegian Embassy in South Africa (Madagaskar, Namibia, Lesotho, Botswana)",,
24004,40184,37,Skatt vest Jørpeland,Skatt vest Jørpeland,Jørpeland Tax Office,,
22748,25835,73,Molde bibliotek,Molde bibliotek,Molde Public Library,,
22749,25806,73,Nesset folkebibliotek,Nesset folkebibliotek,Nesset Public Library,,
22750,25789,73,Norddal folkebibliotek,Norddal folkebibliotek,Norddal Public Library,,
22751,25680,73,Rauma folkebibliotek,Rauma folkebibliotek,Rauma Public Library,,
22753,25573,73,Sande bibliotek (Møre og Romsdal),Sande bibliotek (Møre og Romsdal),Sande Public Library (Møre og Romsdal),,
22754,25355,73,Sveio folkebibliotek,Sveio folkebibliotek,Sveio  Public Library,,
22755,25289,73,Tysnes folkebibliotek,Tysnes folkebibliotek,Tysnes  Public Library,,
22756,25295,73,Ullensvang folkeboksamling,Ullensvang folkeboksamling,Ullensvang folkeboksamling,,
22757,25575,73,Sandøy bibliotek,Sandøy bibliotek,Sandøy Public Library,,
22759,25513,73,Smøla folkebibliotek,Smøla folkebibliotek,Smøla Public Library,,
21486,25333,39,Lyngen lensmannskontor,Lyngen lensmannskontor,Lyngen Police Station (lensmann) ,,
21556,25302,39,Steinkjer politistasjon,Steinkjer politistasjon,Steinkjer Police Station ,,
21560,25302,39,Levanger lensmannskontor,Levanger lensmannskontor,Levanger Police Station (lensmann) ,,
21490,25231,39,Hammerfest politistasjon,Hammerfest politistasjon,Hammerfest Police Station ,,
42182,25974,58,Skrivesenteret - Nasjonalt senter for skriveopplæring og skriveforskning,Skrivesenteret - Nasjonalt senter for skriveopplæring og skriveforsking,Skrivesenteret - Nasjonalt senter for skriveopplæring og skriveforskning,,
31382,25381,50,Statskog SF (Bergen),Statskog SF (Bergen),"Statskog, the State-owned Land and Forest Company (Bergen)",,
31383,25381,50,Statskog SF (Dombås),Statskog SF (Dombås),"Statskog, the State-owned Land and Forest Company (Dombås)",,
31384,25381,50,Statskog SF (Drevsjø),Statskog SF (Drevsjø),"Statskog, the State-owned Land and Forest Company (Drevsjø)",,
31385,25381,50,Statskog SF (Elverum),Statskog SF (Elverum),"Statskog, the State-owned Land and Forest Company (Elverum)",,
31387,25381,50,Statskog SF (Fauske),Statskog SF (Fauske),"Statskog, the State-owned Land and Forest Company (Fauske)",,
31390,25381,50,Statskog SF (Hattfjelldal),Statskog SF (Hattfjelldal),"Statskog, the State-owned Land and Forest Company (Hattfjelldal)",,
31401,25381,50,Statskog SF (Kongsberg),Statskog SF (Kongsberg),"Statskog, the State-owned Land and Forest Company (Kongsberg)",,
31402,25381,50,Statskog SF (Kristiansand),Statskog SF (Kristiansand),"Statskog, the State-owned Land and Forest Company (Kristiansand)",,
31404,25381,50,Statskog SF (Lillehammer),Statskog SF (Lillehammer),"Statskog, the State-owned Land and Forest Company (Lillehammer)",,
22543,,81,Stiftelsen Rettferd for Taperne,Stiftelsen Rettferd for Taperne,Stiftelsen Rettferd for Taperne,971305991,
22425,,82,"Krisesenteret for kvinner i Vestfold, Tønsberg","Krisesenteret for kvinner i Vestfold, Tønsberg","Krisesenteret for kvinner i Vestfold, Tønsberg",990089027,
22426,,82,Krisesenteret i Telemark,Krisesenteret i Telemark,Krisesenteret i Telemark,982053242,
22427,,82,Aust-Agder krisesenter,Aust-Agder krisesenter,Women's Shelter in Aust-Agder,,
22428,,82,"Vest-Agder krisesenter, Kristiansand","Vest-Agder krisesenter, Kristiansand","Vest-Agder krisesenter, Kristiansand",990814694,
22429,,82,Krisesenteret i Stavanger,Krisesenteret i Stavanger,Krisesenteret i Stavanger,,
22430,,82,Haugesund og omegn krisesenter,Haugesund krisesenter,The Women's shelter in Haugesund,,
25190,26675,34,"Statistisk sentralbyrå - SSB, avd. Kongsvinger","Statistisk sentralbyrå - SSB, avd. Kongsvinger","Statistics Norway - SSB, Kongsvinger",,
25192,,66,Nesseby kommune - Unjárgga gielda ,Nesseby kommune - Unjárgga gielda ,Nesseby Municipality,,2027
25193,29872,39,Oslo politidistrikt,Oslo politidistrikt,Oslo Police District,961398142,
25194,40902,58,Meteorologisk institutt - Værvarslinga for Nord-Norge,Meteorologisk institutt - Vervarslinga for Nord-Noreg,"Norwegian Meteorological Institute, Forecasting Division of Northern Norway",,
25195,,66,Værøy kommune,Værøy kommune,Værøy Municipality,964994307,1857
25196,,66,Vågan kommune,Vågan kommune,Vågan Municipality,938644500,1865
25197,,66,Vågsøy kommune,Vågsøy kommune,Vågsøy Municipality,,1439
25198,,66,Vågå kommune,Vågå kommune,Vågå Municipality,939607706,0515
25200,,66,Våler kommune (Østfold),Våler kommune (Østfold),Våler Municipality (Østfold),959272581,0137
25201,,66,Våler kommune i Solør (Hedmark),Våler kommune i Solør (Hedmark),Våler Municipality in Solør (Hedmark),871034222,0426
25202,26375,76,"Ambassaden i Polen, Warszawa","Ambassaden i Polen, Warszawa",Royal Norwegian Embassy in Poland,,
25203,26375,76,"Ambassaden i Amerikas Forente Stater, Washington D.C.","Ambassaden i Amerikas Forente Stater, Washington D.C.",Royal Norwegian Embassy in the United States of America,,
25204,26375,76,"Ambassaden i Østerrike, Wien ","Ambassaden i Østerrike, Wien ","Royal Norwegian Embassy in Vienna, Austria",,
25205,26375,76,Norges faste delegasjon til OSSE,Norges faste delegasjon til OSSE,Permanent Delation of Norway to the OSCE,,
21692,25896,39,Kristiansand politistasjon,Kristiansand politistasjon,Kristiansand Central Police Station,,
26585,20528,55,Norsk utenrikspolitisk institutt (NUPI),Norsk utanrikspolitisk institutt (NUPI),Norwegian Institute of International Affairs (NUPI),970955992,
42122,,90,Chr. Michelsens Institutt (CMI),Chr. Michelsens Institutt (CMI),Chr. Michelsen Institute (CMI) ,948271788,
33282,,77,Kuwaits ambassade,Kuwaits ambassade,Embassy of the State of Kuwait,,
26518,20530,42,Norsk kulturråd,Norsk kulturråd,Arts Council Norway,971527412,
26519,20530,42,Språkrådet,Språkrådet,Language Council of Norway,971527404,
26520,20530,33,Riksarkivet,Riksarkivet,National Archives of Norway,961181399,
26521,20530,38,Rikskonsertene,Rikskonsertane,Norwegian Concert Institute,974761114,
26522,20530,38,Riksteatret,Riksteatret,State Touring Theatre,974907550,
26523,20530,33,ABM-utvikling ,ABM-utvikling ,"Norwegian Archive, Library and Museum Authority",,
26524,20530,33,Medietilsynet,Medietilsynet,Norwegian Media Authority,974760886,
42124,20535,39,Distriktssenteret - kompetansesenter for distriktsutvikling,Distriktssenteret - kompetansesenter for distriktsutvikling,Centre of Competence on Rural Development,992375434,
42649,32255,39,Distriktspsykiatrisk senter Bærum (DPS),Distriktspsykiatrisk senter Bærum (DPS),Bærum District Psychiatric Centre,,
42650,41202,39,DPS Tromsø og Storsteinnes - Psykiatrisk senter for Tromøs og omegn,DPS for Tromsø og Storsteinnes - Psykiatrisk senter for Tromøs og omegn,Tromsø District Psychiatric Centre,,
42651,32230,39,Psykiatrisk senter Ytre Helgeland (DPS),Psykiatrisk senter Ytre Helgeland (DPS),Ytre Helgeland District Psychiatric Centre,,
42652,32255,39,DPS Ringerike ,DPS Ringerike ,Ringerike sykehus District Psychiatric Centre,,
25980,42983,39,Høgskolen i Buskerud,Høgskolen i Buskerud,Buskerud University College,971572795,
25981,42983,39,Høgskolen i Finnmark,Høgskolen i Finnmark,Finnmark University College,,
25982,42983,39,Høgskolen i Gjøvik,Høgskolen i Gjøvik,Gjøvik University College,970937668,
41062,26888,39,Hovedredningssentralen Sør-Norge,Hovedredningssentralen Sør-Norge,"Joint Rescue Coordination Centre, Southern Norway",971513756,
25477,40948,19,Nordre Vestfold tingrett,Nordre Vestfold tingrett,Nordre Vestfold District Court,,
25478,40948,19,Inntrøndelag tingrett,Inntrøndelag tingrett,Inntrøndelag District Court,,
25479,40948,19,Sogn tingrett,Sogn tingrett,Sogn District Court,,
25480,40948,19,Jæren tingrett,Jæren tingrett,Jæren District Court,,
25482,40948,19,Kongsberg tingrett,Kongsberg tingrett,Kongsberg District Court,,
25484,40948,19,Larvik tingrett,Larvik tingrett,Larvik District Court,,
25486,40948,19,Lister tingrett,Lister tingrett,Lister District Court,,
25489,40948,19,Namdal tingrett,Namdal tingrett,Namdal District Court,,
25490,40948,19,Aust-Agder tingrett,Aust-Agder tingrett,Aust-Agder District Court,,
25494,40948,19,Nord-Gudbrandsdal tingrett,Nord-Gudbrandsdal tingrett,Nord-Gudbrandsdal District Court,,
25496,40948,19,Ofoten tingrett,Ofoten tingrett,Ofoten District Court,,
25499,40948,19,Ringerike tingrett,Ringerike tingrett,Ringerike District Court,,
20653,34843,82,Familievernkontoret i Mosjøen (KF),Familievernkontoret i Mosjøen (KF),Mosjøen Family Counselling Services (KF),,
20658,34843,39,Familievernkontoret i Bodø,Familievernkontoret i Bodø,Bodø Family Counselling Services ,,
20663,34844,39,Familievernkontoret Molde ,Familievernkontoret Molde ,Molde Family Counselling Services,,
20664,34843,39,Narvik familievernkontor ,Narvik familievernkontor ,Narvik Family Counselling Services ,,
20666,34843,39,Familievernkontoret i Vesterålen ,Familievernkontoret i Vesterålen,Vesterålen Family Counselling Services ,,
25452,40948,19,Sunnhordland tingrett,Sunnhordland tingrett,Sunnhordland District Court,,
25454,40948,19,Søre Sunnmøre tingrett,Søre Sunnmøre tingrett,Søre Sunnmøre District Court,,
25456,40948,19,Sør-Østerdal tingrett,Sør-Østerdal tingrett,Sør-Østerdal District Court,,
25460,40948,19,Trondenes tingrett,Trondenes tingrett,Trondenes District Court,,
25463,40948,19,Vesterålen tingrett,Vesterålen tingrett,Vesterålen District Court,,
20605,34843,39,Familievernkontoret i Harstad,Familievernkontoret i Harstad,Harstad Family Counselling Services ,,
20606,34843,39,Familievernkontoret i Tromsø,Familievernkontoret i Tromsø,Tromsø Family Counselling Services,,
25819,26375,76,"Ambassaden i Kenya, Nairobi (Somalia)","Ambassaden i Kenya, Nairobi (Somalia)",Royal Norwegian Embassy in Kenya (Somalia),,
25820,,66,Namdalseid kommune,Namdalseid kommune,Namdalseid Municipality,940015456,1725
25821,,66,Namsos kommune,Namsos kommune,Namsos Municipality,942875967,1703
25822,,66,Namsskogan kommune,Namsskogan kommune,Namsskogen Municipality,864982212,1740
25823,,66,Meldal kommune,Meldal kommune,Meldal Municipality,958731647,1636
25824,,66,Melhus kommune,Melhus kommune,Melhus Municipality,938726027,1653
25825,27130,81,Mellomkirkelig råd,Mellomkirkelig råd,Church of Norway Council of Ecumenical and International Relations,,
25826,,66,Meløy kommune,Meløy kommune,Meløy Municipality,970189866,1837
25827,,66,Meråker kommune,Meråker kommune,Meråker Municipality,835231712,1711
27540,26097,37,NAV Båtsfjord ,NAV Båtsfjord ,NAV Båtsfjord,,
27543,26095,37,NAV Valle ,NAV Valle ,NAV  Valle ,,
27482,23750,37,NAV Oppdal ,NAV Oppdal ,NAV Oppdal ,,
27484,23750,37,NAV Rennebu ,NAV Rennebu ,NAV Rennebu ,,
27485,23753,37,NAV Rissa ,NAV Rissa ,NAV Rissa ,,
24224,26094,37,NAV Ullensaker ,NAV Ullensaker ,NAV Ullensaker ,,
24258,26095,37,NAV Tvedestrand ,NAV Tvedestrand ,NAV Tvedestrand ,,
24450,26144,37,NAV Numedal - Nore og Uvdal ,NAV Numedal - Nore og Uvdal ,NAV Numedal - Nore og Uvdal ,,
42447,32226,39,DPS Vest-Finnmark - Alta,DPS Vest-Finnmark - Alta,Vest-Finnmark District Psychiatric Centre - Alta,,
42448,32252,39,DPS Vestmar  - enhet for psykiatrisk behandling,DPS Vestmar - enhet for psykiatrisk behandling,Vestmar District Psychiatric Centre,,
42449,32263,39,DPS Gjøvik ,DPS Gjøvik ,Gjøvik District Psychiatric Centre,,
42450,32263,39,DPS Hamar - distriktspsykiatrisk senter,DPS Hamar - distriktspsykiatrisk senter,Hamar District Psychiatric Centre,,
26218,26653,36,Fiskeridirektoratet region Møre og Romsdal,Fiskeridirektoratet region Møre og Romsdal,"Directorate of Fisheries, Møre og Romsdal regional office",979529716,
26219,26653,36,Fiskeridirektoratet region Nordland,Fiskeridirektoratet region Nordland,"Directorate of Fisheries, Nordland regional office",879529662,
