navn,sum-operator,sum-myndighet,avvik-operator,avvik-myndighet,avklart,uavklart
A/S Norske Shell,34692,32375,2317,0,2317,0
BG Norge AS,39150,48915,-9765,0,-9765,0
BP Norge AS,68896,68844,52,0,52,0
Concedo ASA,1278,0,1278,0,1278,0
ConocoPhillips Skandinavia AS,81240,81240,0,0,0,0
Det norske oljeselskap ASA,75207,75207,0,0,0,0
DONG E&P Norge AS,14640,14640,0,0,0,0
Eni Norge AS,88200,88200,0,0,0,0
ExxonMobil Exploration & Production Norway AS,8000,7280,0,720,720,0
GDF SUEZ E&P Norge AS,8861,8861,0,0,0,0
Hess Norge AS,-13931,-13931,0,0,0,0
Lundin Norway AS,25584,24276,1308,0,1308,0
Maersk Oil Norway AS,6240,6240,0,0,0,0
Maersk Oil PL 018C Norway AS,0,960,-960,0,-960,0
Norwegian Energy Company ASA,0,19062,-19062,0,-19062,0
RWE Dea Norge AS,76712,76711,1,0,1,0
Statoil Petroleum AS,783571,783624,-53,0,-53,0
Suncor Energy Norge AS,8462,8488,-26,0,-26,0
Talisman Energy Norge AS,47795,47795,0,0,0,0
Total E&P Norge AS,80520,80520,0,0,0,0
VNG Norge AS,17580,17580,0,0,0,0
Wintershall Norge ASA,39687,39687,0,0,0,0
