shortname,name,content
trinn,Lønnstrinn,Lønnstrinn
brutto-aar,Bruttolønn pr. år,Bruttolønn per år
brutto-dag-260,Bruttolønn pr. dag for 260 dagers år (5 dgr. uke),Bruttolønn per dag for 260 dagers år (5 dgr. uke)
brutto-dag-312,Bruttolønn per dag for 312 dagers år (6 dgr. uke),Bruttolønn per dag for 312 dagers år (6 dgr. uke)
pensjonsinnskudd,Pensjonsinnskudd pr. år,Pensjonsinnskudd per år
netto-aar,Nettolønn pr. år,Nettolønn per år
netto-dag-260,Nettolønn pr. dag for 260 dagers år (5 dgr. uke),Nettolønn per dag for 260 dagers år (5 dgr. uke)
netto-dag-312,Nettolønn pr. dag for 312 dagers år (6 dgr. uke),Nettolønn per dag for 312 dagers år (6 dgr. uke)
