dato,skole,elevdag,laererdag,sfodag,kommentar
2016-03-30,Austbø skole,Ja,Ja,Nei,
2016-03-31,Austbø skole,Ja,Ja,Nei,
2016-04-01,Austbø skole,Ja,Ja,Nei,
2016-04-02,Austbø skole,Nei,Nei,Nei,Lørdag
2016-04-03,Austbø skole,Nei,Nei,Nei,Søndag
2016-04-04,Austbø skole,Ja,Ja,Nei,
2016-04-05,Austbø skole,Ja,Ja,Nei,
2016-04-06,Austbø skole,Ja,Ja,Nei,
2016-04-07,Austbø skole,Ja,Ja,Nei,
2016-04-08,Austbø skole,Ja,Ja,Nei,
2016-04-09,Austbø skole,Nei,Nei,Nei,Lørdag
2016-04-10,Austbø skole,Nei,Nei,Nei,Søndag
2016-04-11,Austbø skole,Ja,Ja,Nei,
2016-04-12,Austbø skole,Ja,Ja,Nei,
2016-04-13,Austbø skole,Ja,Ja,Nei,
2016-04-14,Austbø skole,Ja,Ja,Nei,
2016-04-15,Austbø skole,Ja,Ja,Nei,
2016-04-16,Austbø skole,Nei,Nei,Nei,Lørdag
2016-04-17,Austbø skole,Nei,Nei,Nei,Søndag
2016-04-18,Austbø skole,Ja,Ja,Nei,
2016-04-19,Austbø skole,Ja,Ja,Nei,
2016-04-20,Austbø skole,Ja,Ja,Nei,
2016-04-21,Austbø skole,Ja,Ja,Nei,
2016-04-22,Austbø skole,Ja,Ja,Nei,
2016-04-23,Austbø skole,Nei,Nei,Nei,Lørdag
2016-04-24,Austbø skole,Nei,Nei,Nei,Søndag
2016-04-25,Austbø skole,Ja,Ja,Nei,
2016-04-26,Austbø skole,Ja,Ja,Nei,
2016-04-27,Austbø skole,Ja,Ja,Nei,
2016-04-28,Austbø skole,Ja,Ja,Nei,
2016-04-29,Austbø skole,Ja,Ja,Nei,
2016-04-30,Austbø skole,Nei,Nei,Nei,Lørdag
2016-05-01,Austbø skole,Nei,Nei,Nei,Offentlig høytidsdag
2016-05-02,Austbø skole,Ja,Ja,Nei,
2016-05-03,Austbø skole,Ja,Ja,Nei,
2016-05-04,Austbø skole,Ja,Ja,Nei,
2016-05-05,Austbø skole,Nei,Nei,Nei,Kristi himmelfartsdag
2016-05-06,Austbø skole,Ja,Ja,Nei,
2016-05-07,Austbø skole,Nei,Nei,Nei,Lørdag
2016-05-08,Austbø skole,Nei,Nei,Nei,Søndag
2016-05-09,Austbø skole,Ja,Ja,Nei,
2016-05-10,Austbø skole,Ja,Ja,Nei,
2016-05-11,Austbø skole,Ja,Ja,Nei,
2016-05-12,Austbø skole,Ja,Ja,Nei,
2016-05-13,Austbø skole,Ja,Ja,Nei,
2016-05-14,Austbø skole,Nei,Nei,Nei,Lørdag
2016-05-15,Austbø skole,Nei,Nei,Nei,1. pinsedag
2016-05-16,Austbø skole,Nei,Nei,Nei,2. pinsedag
2016-05-17,Austbø skole,Nei,Nei,Nei,Grunnlovsdag
2016-05-18,Austbø skole,Ja,Ja,Nei,
2016-05-19,Austbø skole,Ja,Ja,Nei,
2016-05-20,Austbø skole,Ja,Ja,Nei,
2016-05-21,Austbø skole,Nei,Nei,Nei,Lørdag
2016-05-22,Austbø skole,Nei,Nei,Nei,Søndag
2016-05-23,Austbø skole,Ja,Ja,Nei,
2016-05-24,Austbø skole,Ja,Ja,Nei,
2016-05-25,Austbø skole,Ja,Ja,Nei,
2016-05-26,Austbø skole,Ja,Ja,Nei,
2016-05-27,Austbø skole,Ja,Ja,Nei,
2016-05-28,Austbø skole,Nei,Nei,Nei,Lørdag
2016-05-29,Austbø skole,Nei,Nei,Nei,Søndag
2016-05-30,Austbø skole,Ja,Ja,Nei,
2016-05-31,Austbø skole,Ja,Ja,Nei,
2016-06-01,Austbø skole,Ja,Ja,Nei,
2016-06-02,Austbø skole,Ja,Ja,Nei,
2016-06-03,Austbø skole,Ja,Ja,Nei,
2016-06-04,Austbø skole,Nei,Nei,Nei,Lørdag
2016-06-05,Austbø skole,Nei,Nei,Nei,Søndag
2016-06-06,Austbø skole,Ja,Ja,Nei,
2016-06-07,Austbø skole,Ja,Ja,Nei,
2016-06-08,Austbø skole,Ja,Ja,Nei,
2016-06-09,Austbø skole,Ja,Ja,Nei,
2016-06-10,Austbø skole,Ja,Ja,Nei,
2016-06-11,Austbø skole,Nei,Nei,Nei,Lørdag
2016-06-12,Austbø skole,Nei,Nei,Nei,Søndag
2016-06-13,Austbø skole,Ja,Ja,Nei,
2016-06-14,Austbø skole,Ja,Ja,Nei,
2016-06-15,Austbø skole,Ja,Ja,Nei,
2016-06-16,Austbø skole,Ja,Ja,Nei,
2016-06-17,Austbø skole,Ja,Ja,Nei,
2016-06-18,Austbø skole,Nei,Nei,Nei,Lørdag
2016-06-19,Austbø skole,Nei,Nei,Nei,Søndag
2016-06-20,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-21,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-22,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-23,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-24,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-25,Austbø skole,Nei,Nei,Nei,Lørdag
2016-06-26,Austbø skole,Nei,Nei,Nei,Søndag
2016-06-27,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-28,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-29,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-06-30,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-01,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-02,Austbø skole,Nei,Nei,Nei,Lørdag
2016-07-03,Austbø skole,Nei,Nei,Nei,Søndag
2016-07-04,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-05,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-06,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-07,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-08,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-09,Austbø skole,Nei,Nei,Nei,Lørdag
2016-07-10,Austbø skole,Nei,Nei,Nei,Søndag
2016-07-11,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-12,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-13,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-14,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-15,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-16,Austbø skole,Nei,Nei,Nei,Lørdag
2016-07-17,Austbø skole,Nei,Nei,Nei,Søndag
2016-07-18,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-19,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-20,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-21,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-22,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-23,Austbø skole,Nei,Nei,Nei,Lørdag
2016-07-24,Austbø skole,Nei,Nei,Nei,Søndag
2016-07-25,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-26,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-27,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-28,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-29,Austbø skole,Nei,Nei,Nei,Sommerferie
2016-07-30,Austbø skole,Nei,Nei,Nei,Lørdag
2016-07-31,Austbø skole,Nei,Nei,Nei,Søndag
2015-08-01,Buøy skole,Nei,Nei,Nei,Lørdag
2015-08-02,Buøy skole,Nei,Nei,Nei,Søndag
2015-08-03,Buøy skole,Nei,Nei,Ja,Sommerferie
2015-08-04,Buøy skole,Nei,Nei,Ja,Sommerferie
2015-08-05,Buøy skole,Nei,Nei,Ja,Sommerferie
2015-08-06,Buøy skole,Nei,Nei,Ja,Sommerferie
2015-08-07,Buøy skole,Nei,Nei,Ja,Sommerferie
2015-08-08,Buøy skole,Nei,Nei,Nei,Lørdag
2015-08-09,Buøy skole,Nei,Nei,Nei,Søndag
2015-08-10,Buøy skole,Nei,Nei,Ja,Sommerferie
2015-08-11,Buøy skole,Nei,Nei,Ja,Sommerferie
2015-08-12,Buøy skole,Nei,Ja,Nei,Planleggingsdag
2015-08-13,Buøy skole,Nei,Ja,Nei,Planleggingsdag
2015-08-14,Buøy skole,Nei,Ja,Nei,Planleggingsdag
2015-08-15,Buøy skole,Nei,Nei,Nei,Lørdag
2015-08-16,Buøy skole,Nei,Nei,Nei,Søndag
2015-08-17,Buøy skole,Ja,Ja,Ja,
2015-08-18,Buøy skole,Ja,Ja,Ja,
2015-08-19,Buøy skole,Ja,Ja,Ja,
2015-08-20,Buøy skole,Ja,Ja,Ja,
2015-08-21,Buøy skole,Ja,Ja,Ja,
2015-08-22,Buøy skole,Nei,Nei,Nei,Lørdag
2015-08-23,Buøy skole,Nei,Nei,Nei,Søndag
2015-08-24,Buøy skole,Ja,Ja,Ja,
2015-08-25,Buøy skole,Ja,Ja,Ja,
2015-08-26,Buøy skole,Ja,Ja,Ja,
2015-08-27,Buøy skole,Ja,Ja,Ja,
2015-08-28,Buøy skole,Ja,Ja,Ja,
2015-08-29,Buøy skole,Nei,Nei,Nei,Lørdag
2015-08-30,Buøy skole,Nei,Nei,Nei,Søndag
2015-08-31,Buøy skole,Ja,Ja,Ja,
2015-09-01,Buøy skole,Ja,Ja,Ja,
2015-09-02,Buøy skole,Ja,Ja,Ja,
2015-09-03,Buøy skole,Ja,Ja,Ja,
2015-09-04,Buøy skole,Ja,Ja,Ja,
2015-09-05,Buøy skole,Nei,Nei,Nei,Lørdag
2015-09-06,Buøy skole,Nei,Nei,Nei,Søndag
2015-09-07,Buøy skole,Ja,Ja,Ja,
2015-09-08,Buøy skole,Ja,Ja,Ja,
2015-09-09,Buøy skole,Ja,Ja,Ja,
2015-09-10,Buøy skole,Ja,Ja,Ja,
2015-09-11,Buøy skole,Ja,Ja,Ja,
2015-09-12,Buøy skole,Nei,Nei,Nei,Lørdag
2015-09-13,Buøy skole,Nei,Nei,Nei,Søndag
2015-09-14,Buøy skole,Ja,Ja,Ja,
2015-09-15,Buøy skole,Ja,Ja,Ja,
2015-09-16,Buøy skole,Ja,Ja,Ja,
2015-09-17,Buøy skole,Ja,Ja,Ja,
2015-09-18,Buøy skole,Ja,Ja,Ja,
2015-09-19,Buøy skole,Nei,Nei,Nei,Lørdag
2015-09-20,Buøy skole,Nei,Nei,Nei,Søndag
2015-09-21,Buøy skole,Ja,Ja,Ja,
2015-09-22,Buøy skole,Ja,Ja,Ja,
2015-09-23,Buøy skole,Ja,Ja,Ja,
2015-09-24,Buøy skole,Ja,Ja,Ja,
2015-09-25,Buøy skole,Ja,Ja,Ja,
2015-09-26,Buøy skole,Nei,Nei,Nei,Lørdag
2015-09-27,Buøy skole,Nei,Nei,Nei,Søndag
2015-09-28,Buøy skole,Ja,Ja,Ja,
2015-09-29,Buøy skole,Ja,Ja,Ja,
2015-09-30,Buøy skole,Ja,Ja,Ja,
2015-10-01,Buøy skole,Ja,Ja,Ja,
2015-10-02,Buøy skole,Ja,Ja,Ja,
2015-10-03,Buøy skole,Nei,Nei,Nei,Lørdag
2015-10-04,Buøy skole,Nei,Nei,Nei,Søndag
2015-10-05,Buøy skole,Nei,Nei,Ja,Høstferie
2015-10-06,Buøy skole,Nei,Nei,Ja,Høstferie
2015-10-07,Buøy skole,Nei,Nei,Ja,Høstferie
2015-10-08,Buøy skole,Nei,Nei,Ja,Høstferie
2015-10-09,Buøy skole,Nei,Nei,Ja,Høstferie
2015-10-10,Buøy skole,Nei,Nei,Nei,Lørdag
2015-10-11,Buøy skole,Nei,Nei,Nei,Søndag
2015-10-12,Buøy skole,Ja,Ja,Ja,
2015-10-13,Buøy skole,Ja,Ja,Ja,
2015-10-14,Buøy skole,Ja,Ja,Ja,
2015-10-15,Buøy skole,Ja,Ja,Ja,
2015-10-16,Buøy skole,Ja,Ja,Ja,
2015-10-17,Buøy skole,Nei,Nei,Nei,Lørdag
2015-10-18,Buøy skole,Nei,Nei,Nei,Søndag
2015-10-19,Buøy skole,Ja,Ja,Ja,
2015-10-20,Buøy skole,Ja,Ja,Ja,
2015-10-21,Buøy skole,Ja,Ja,Ja,
2015-10-22,Buøy skole,Ja,Ja,Ja,
2015-10-23,Buøy skole,Ja,Ja,Ja,
2015-10-24,Buøy skole,Nei,Nei,Nei,Lørdag
2015-10-25,Buøy skole,Nei,Nei,Nei,Søndag
2015-10-26,Buøy skole,Ja,Ja,Ja,
2015-10-27,Buøy skole,Ja,Ja,Ja,
2015-10-28,Buøy skole,Ja,Ja,Ja,
2015-10-29,Buøy skole,Ja,Ja,Ja,
2015-10-30,Buøy skole,Ja,Ja,Ja,
2015-10-31,Buøy skole,Nei,Nei,Nei,Lørdag
2015-11-01,Buøy skole,Nei,Nei,Nei,Søndag
2015-11-02,Buøy skole,Ja,Ja,Ja,
2015-11-03,Buøy skole,Ja,Ja,Ja,
2015-11-04,Buøy skole,Ja,Ja,Ja,
2015-11-05,Buøy skole,Ja,Ja,Ja,
2015-11-06,Buøy skole,Ja,Ja,Ja,
2015-11-07,Buøy skole,Nei,Nei,Nei,Lørdag
2015-11-08,Buøy skole,Nei,Nei,Nei,Søndag
2015-11-09,Buøy skole,Ja,Ja,Ja,
2015-11-10,Buøy skole,Ja,Ja,Ja,
2015-11-11,Buøy skole,Ja,Ja,Ja,
2015-11-12,Buøy skole,Ja,Ja,Ja,
2015-11-13,Buøy skole,Nei,Ja,Nei,Planleggingsdag
2015-11-14,Buøy skole,Nei,Nei,Nei,Lørdag
2015-11-15,Buøy skole,Nei,Nei,Nei,Søndag
2015-11-16,Buøy skole,Ja,Ja,Ja,
2015-11-17,Buøy skole,Ja,Ja,Ja,
2015-11-18,Buøy skole,Ja,Ja,Ja,
2015-11-19,Buøy skole,Ja,Ja,Ja,
2015-11-20,Buøy skole,Ja,Ja,Nei,
2015-11-21,Buøy skole,Nei,Nei,Nei,Lørdag
2015-11-22,Buøy skole,Nei,Nei,Nei,Søndag
2015-11-23,Buøy skole,Ja,Ja,Ja,
2015-11-24,Buøy skole,Ja,Ja,Ja,
2015-11-25,Buøy skole,Ja,Ja,Ja,
2015-11-26,Buøy skole,Ja,Ja,Ja,
2015-11-27,Buøy skole,Ja,Ja,Nei,
2015-11-28,Buøy skole,Nei,Nei,Nei,Lørdag
2015-11-29,Buøy skole,Nei,Nei,Nei,Søndag
2015-11-30,Buøy skole,Ja,Ja,Ja,
2015-12-01,Buøy skole,Ja,Ja,Ja,
2015-12-02,Buøy skole,Ja,Ja,Ja,
2015-12-03,Buøy skole,Ja,Ja,Ja,
2015-12-04,Buøy skole,Ja,Ja,Nei,
2015-12-05,Buøy skole,Nei,Nei,Nei,Lørdag
2015-12-06,Buøy skole,Nei,Nei,Nei,Søndag
2015-12-07,Buøy skole,Ja,Ja,Ja,
2015-12-08,Buøy skole,Ja,Ja,Ja,
2015-12-09,Buøy skole,Ja,Ja,Ja,
2015-12-10,Buøy skole,Ja,Ja,Ja,
2015-12-11,Buøy skole,Ja,Ja,Nei,
2015-12-12,Buøy skole,Nei,Nei,Nei,Lørdag
2015-12-13,Buøy skole,Nei,Nei,Nei,Søndag
2015-12-14,Buøy skole,Ja,Ja,Ja,
2015-12-15,Buøy skole,Ja,Ja,Ja,
2015-12-16,Buøy skole,Ja,Ja,Ja,
2015-12-17,Buøy skole,Ja,Ja,Ja,
2015-12-18,Buøy skole,Ja,Ja,Nei,
2015-12-19,Buøy skole,Nei,Nei,Nei,Lørdag
2015-12-20,Buøy skole,Nei,Nei,Nei,Søndag
2015-12-21,Buøy skole,Nei,Nei,Ja,Juleferie
2015-12-22,Buøy skole,Nei,Nei,Ja,Juleferie
2015-12-23,Buøy skole,Nei,Nei,Ja,Juleferie
2015-12-24,Buøy skole,Nei,Nei,Nei,Juleferie
2015-12-25,Buøy skole,Nei,Nei,Nei,1. juledag
2015-12-26,Buøy skole,Nei,Nei,Nei,2. juledag
2015-12-27,Buøy skole,Nei,Nei,Nei,Søndag
2015-12-28,Buøy skole,Nei,Nei,Ja,Juleferie
2015-12-29,Buøy skole,Nei,Nei,Ja,Juleferie
2015-12-30,Buøy skole,Nei,Nei,Ja,Juleferie
2015-12-31,Buøy skole,Nei,Nei,Nei,Juleferie
2016-01-01,Buøy skole,Nei,Nei,Nei,1. nyttårsdag
2016-01-02,Buøy skole,Nei,Nei,Nei,Lørdag
2016-01-03,Buøy skole,Nei,Nei,Nei,Søndag
2016-01-04,Buøy skole,Ja,Ja,Ja,
2016-01-05,Buøy skole,Ja,Ja,Ja,
2016-01-06,Buøy skole,Ja,Ja,Ja,
2016-01-07,Buøy skole,Ja,Ja,Ja,
2016-01-08,Buøy skole,Ja,Ja,Nei,
2016-01-09,Buøy skole,Nei,Nei,Nei,Lørdag
2016-01-10,Buøy skole,Nei,Nei,Nei,Søndag
2016-01-11,Buøy skole,Ja,Ja,Ja,
2016-01-12,Buøy skole,Ja,Ja,Ja,
2016-01-13,Buøy skole,Ja,Ja,Ja,
2016-01-14,Buøy skole,Ja,Ja,Ja,
2016-01-15,Buøy skole,Ja,Ja,Nei,
2016-01-16,Buøy skole,Nei,Nei,Nei,Lørdag
2016-01-17,Buøy skole,Nei,Nei,Nei,Søndag
2016-01-18,Buøy skole,Ja,Ja,Ja,
2016-01-19,Buøy skole,Ja,Ja,Ja,
2016-01-20,Buøy skole,Ja,Ja,Ja,
2016-01-21,Buøy skole,Ja,Ja,Ja,
2016-01-22,Buøy skole,Ja,Ja,Nei,
2016-01-23,Buøy skole,Nei,Nei,Nei,Lørdag
2016-01-24,Buøy skole,Nei,Nei,Nei,Søndag
2016-01-25,Buøy skole,Ja,Ja,Ja,
2016-01-26,Buøy skole,Ja,Ja,Ja,
2016-01-27,Buøy skole,Ja,Ja,Ja,
2016-01-28,Buøy skole,Ja,Ja,Ja,
2016-01-29,Buøy skole,Ja,Ja,Nei,
2016-01-30,Buøy skole,Nei,Nei,Nei,Lørdag
2016-01-31,Buøy skole,Nei,Nei,Nei,Søndag
2016-02-01,Buøy skole,Ja,Ja,Ja,
2016-02-02,Buøy skole,Ja,Ja,Ja,
2016-02-03,Buøy skole,Ja,Ja,Ja,
2016-02-04,Buøy skole,Ja,Ja,Ja,
2016-02-05,Buøy skole,Ja,Ja,Nei,
2016-02-06,Buøy skole,Nei,Nei,Nei,Lørdag
2016-02-07,Buøy skole,Nei,Nei,Nei,Søndag
2016-02-08,Buøy skole,Ja,Ja,Ja,
2016-02-09,Buøy skole,Ja,Ja,Ja,
2016-02-10,Buøy skole,Ja,Ja,Ja,
2016-02-11,Buøy skole,Ja,Ja,Ja,
2016-02-12,Buøy skole,Ja,Ja,Nei,
2016-02-13,Buøy skole,Nei,Nei,Nei,Lørdag
2016-02-14,Buøy skole,Nei,Nei,Nei,Søndag
2016-02-15,Buøy skole,Nei,Nei,Ja,Vinterferie
2016-02-16,Buøy skole,Nei,Nei,Ja,Vinterferie
2016-02-17,Buøy skole,Nei,Nei,Ja,Vinterferie
2016-02-18,Buøy skole,Nei,Nei,Ja,Vinterferie
2016-02-19,Buøy skole,Nei,Nei,Ja,Vinterferie
2016-02-20,Buøy skole,Nei,Nei,Nei,Lørdag
2016-02-21,Buøy skole,Nei,Nei,Nei,Søndag
2016-02-22,Buøy skole,Ja,Ja,Ja,
2016-02-23,Buøy skole,Ja,Ja,Ja,
2016-02-24,Buøy skole,Ja,Ja,Ja,
2016-02-25,Buøy skole,Ja,Ja,Ja,
2016-02-26,Buøy skole,Ja,Ja,Nei,
2016-02-27,Buøy skole,Nei,Nei,Nei,Lørdag
2016-02-28,Buøy skole,Nei,Nei,Nei,Søndag
2016-02-29,Buøy skole,Ja,Ja,Ja,
2016-03-01,Buøy skole,Ja,Ja,Ja,
2016-03-02,Buøy skole,Ja,Ja,Ja,
2016-03-03,Buøy skole,Ja,Ja,Ja,
2016-03-04,Buøy skole,Ja,Ja,Nei,
2016-03-05,Buøy skole,Nei,Nei,Nei,Lørdag
2016-03-06,Buøy skole,Nei,Nei,Nei,Søndag
2016-03-07,Buøy skole,Ja,Ja,Ja,
2016-03-08,Buøy skole,Ja,Ja,Ja,
2016-03-09,Buøy skole,Ja,Ja,Ja,
2016-03-10,Buøy skole,Ja,Ja,Ja,
2016-03-11,Buøy skole,Ja,Ja,Nei,
2016-03-12,Buøy skole,Nei,Nei,Nei,Lørdag
2016-03-13,Buøy skole,Nei,Nei,Nei,Søndag
2016-03-14,Buøy skole,Ja,Ja,Ja,
2016-03-15,Buøy skole,Ja,Ja,Ja,
2016-03-16,Buøy skole,Ja,Ja,Ja,
2016-03-17,Buøy skole,Ja,Ja,Ja,
2016-03-18,Buøy skole,Ja,Ja,Nei,
2016-03-19,Buøy skole,Nei,Nei,Nei,Lørdag
2016-03-20,Buøy skole,Nei,Nei,Nei,Palmesøndag
2016-03-21,Buøy skole,Nei,Nei,Ja,Påskeferie
2016-03-22,Buøy skole,Nei,Nei,Ja,Påskeferie
2016-03-23,Buøy skole,Nei,Nei,Ja,Påskeferie
2016-03-24,Buøy skole,Nei,Nei,Nei,Skjærtorsdag
2016-03-25,Buøy skole,Nei,Nei,Nei,Langfredag
2016-03-26,Buøy skole,Nei,Nei,Nei,Lørdag
2016-03-27,Buøy skole,Nei,Nei,Nei,1. påskedag
2016-03-28,Buøy skole,Nei,Nei,Nei,2. påskedag
2016-03-29,Buøy skole,Ja,Ja,Ja,
2016-03-30,Buøy skole,Ja,Ja,Ja,
2016-03-31,Buøy skole,Ja,Ja,Ja,
2016-04-01,Buøy skole,Ja,Ja,Nei,
2016-04-02,Buøy skole,Nei,Nei,Nei,Lørdag
2016-04-03,Buøy skole,Nei,Nei,Nei,Søndag
2016-04-04,Buøy skole,Ja,Ja,Ja,
2016-04-05,Buøy skole,Ja,Ja,Ja,
2016-04-06,Buøy skole,Ja,Ja,Ja,
2016-04-07,Buøy skole,Ja,Ja,Ja,
2016-04-08,Buøy skole,Ja,Ja,Nei,
2016-04-09,Buøy skole,Nei,Nei,Nei,Lørdag
2016-04-10,Buøy skole,Nei,Nei,Nei,Søndag
2016-04-11,Buøy skole,Ja,Ja,Ja,
2016-04-12,Buøy skole,Ja,Ja,Ja,
2016-04-13,Buøy skole,Ja,Ja,Ja,
2016-04-14,Buøy skole,Ja,Ja,Ja,
2016-04-15,Buøy skole,Ja,Ja,Nei,
2016-04-16,Buøy skole,Nei,Nei,Nei,Lørdag
2016-04-17,Buøy skole,Nei,Nei,Nei,Søndag
2016-04-18,Buøy skole,Ja,Ja,Ja,
2016-04-19,Buøy skole,Ja,Ja,Ja,
2016-04-20,Buøy skole,Ja,Ja,Ja,
2016-04-21,Buøy skole,Ja,Ja,Ja,
2016-04-22,Buøy skole,Ja,Ja,Nei,
2016-04-23,Buøy skole,Nei,Nei,Nei,Lørdag
2016-04-24,Buøy skole,Nei,Nei,Nei,Søndag
2016-04-25,Buøy skole,Ja,Ja,Ja,
2016-04-26,Buøy skole,Ja,Ja,Ja,
2016-04-27,Buøy skole,Ja,Ja,Ja,
2016-04-28,Buøy skole,Ja,Ja,Ja,
2016-04-29,Buøy skole,Ja,Ja,Ja,
2016-04-30,Buøy skole,Nei,Nei,Nei,Lørdag
2016-05-01,Buøy skole,Nei,Nei,Nei,Offentlig høytidsdag
2016-05-02,Buøy skole,Ja,Ja,Ja,
2016-05-03,Buøy skole,Ja,Ja,Ja,
2016-05-04,Buøy skole,Ja,Ja,Ja,
2016-05-05,Buøy skole,Nei,Nei,Nei,Kristi himmelfartsdag
2016-05-06,Buøy skole,Ja,Ja,Nei,
2016-05-07,Buøy skole,Nei,Nei,Nei,Lørdag
2016-05-08,Buøy skole,Nei,Nei,Nei,Søndag
2016-05-09,Buøy skole,Ja,Ja,Ja,
2016-05-10,Buøy skole,Ja,Ja,Ja,
2016-05-11,Buøy skole,Ja,Ja,Ja,
2016-05-12,Buøy skole,Ja,Ja,Ja,
2016-05-13,Buøy skole,Ja,Ja,Nei,
2016-05-14,Buøy skole,Nei,Nei,Nei,Lørdag
2016-05-15,Buøy skole,Nei,Nei,Nei,1. pinsedag
2016-05-16,Buøy skole,Nei,Nei,Ja,2. pinsedag
2016-05-17,Buøy skole,Nei,Nei,Ja,Grunnlovsdag
2016-05-18,Buøy skole,Ja,Ja,Ja,
2016-05-19,Buøy skole,Ja,Ja,Ja,
2016-05-20,Buøy skole,Ja,Ja,Nei,
2016-05-21,Buøy skole,Nei,Nei,Nei,Lørdag
2016-05-22,Buøy skole,Nei,Nei,Nei,Søndag
2016-05-23,Buøy skole,Ja,Ja,Ja,
2016-05-24,Buøy skole,Ja,Ja,Ja,
2016-05-25,Buøy skole,Ja,Ja,Ja,
2016-05-26,Buøy skole,Ja,Ja,Ja,
2016-05-27,Buøy skole,Ja,Ja,Nei,
2016-05-28,Buøy skole,Nei,Nei,Nei,Lørdag
2016-05-29,Buøy skole,Nei,Nei,Nei,Søndag
2016-05-30,Buøy skole,Ja,Ja,Ja,
2016-05-31,Buøy skole,Ja,Ja,Ja,
2016-06-01,Buøy skole,Ja,Ja,Ja,
2016-06-02,Buøy skole,Ja,Ja,Ja,
2016-06-03,Buøy skole,Ja,Ja,Nei,
2016-06-04,Buøy skole,Nei,Nei,Nei,Lørdag
2016-06-05,Buøy skole,Nei,Nei,Nei,Søndag
2016-06-06,Buøy skole,Ja,Ja,Ja,
2016-06-07,Buøy skole,Ja,Ja,Ja,
2016-06-08,Buøy skole,Ja,Ja,Ja,
2016-06-09,Buøy skole,Ja,Ja,Ja,
2016-06-10,Buøy skole,Ja,Ja,Nei,
2016-06-11,Buøy skole,Nei,Nei,Nei,Lørdag
2016-06-12,Buøy skole,Nei,Nei,Nei,Søndag
2016-06-13,Buøy skole,Ja,Ja,Ja,
2016-06-14,Buøy skole,Ja,Ja,Ja,
2016-06-15,Buøy skole,Ja,Ja,Ja,
2016-06-16,Buøy skole,Ja,Ja,Ja,
2016-06-17,Buøy skole,Ja,Ja,Nei,
2016-06-18,Buøy skole,Nei,Nei,Nei,Lørdag
2016-06-19,Buøy skole,Nei,Nei,Nei,Søndag
2016-06-20,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-21,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-22,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-23,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-24,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-25,Buøy skole,Nei,Nei,Nei,Lørdag
2016-06-26,Buøy skole,Nei,Nei,Nei,Søndag
2016-06-27,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-28,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-29,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-06-30,Buøy skole,Nei,Nei,Ja,Sommerferie
2016-07-01,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-02,Buøy skole,Nei,Nei,Nei,Lørdag
2016-07-03,Buøy skole,Nei,Nei,Nei,Søndag
2016-07-04,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-05,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-06,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-07,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-08,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-09,Buøy skole,Nei,Nei,Nei,Lørdag
2016-07-10,Buøy skole,Nei,Nei,Nei,Søndag
2016-07-11,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-12,Buøy skole,Nei,Nei,Nei,Sommerferie
2016-07-13,Buøy skole,Nei,Nei,Nei,Sommerferie
