shortname,name,content
trinn,Lønnstrinn,Lønnstrinn
brutto-35,Bruttolønn (35.5 t),Bruttolønn per time for 35.5 timers uke
brutto-37,Bruttolønn (37.5 t.),Bruttolønn per time for 37.5 timers uke
netto-35,Nettolønn (35.5 t.),Nettolønn per time for 35.5 timers uke
netto-37,Nettolønn (37.5 t.),Nettolønn per time for 37.5 timers uke
