"parti";"kandidatnummer";"kandidatnavn";"fødselsår";"stemmetillegg";"personstemmer";"slengere";"totalt";"status"
"Fremskrittspartiet";"05 x";"Sandnes, Tor Egil";"1948";"1,095.25";"179";"30";"1,304.25";"VALGT"
"Fremskrittspartiet";"03 x";"Skogman, Anni";"1963";"1,095.25";"168";"18";"1,281.25";"VALGT"
"Fremskrittspartiet";"06 x";"Jørgensen, Bjørn-Gunnar";"1983";"1,095.25";"117";"10";"1,222.25";"VALGT"
"Fremskrittspartiet";"04 x";"Alvarstein, Britt Hege";"1960";"1,095.25";"104";"9";"1,208.25";"VALGT"
"Fremskrittspartiet";"08 ";"Johansen, Ole M.";"1954";"0.00";"93";"15";"108.00";"VARA"
"Fremskrittspartiet";"07 ";"Larsen, Charlotte U.";"1985";"0.00";"70";"16";"86.00";"VARA"
"Fremskrittspartiet";"11 ";"Skarheim, Christina";"1991";"0.00";"69";"14";"83.00";"VARA"
"Fremskrittspartiet";"13 ";"Hafeld, Jens Arne";"1983";"0.00";"56";"10";"66.00";"VARA"
"Fremskrittspartiet";"20 ";"Kaspersen, Arnulf";"1956";"0.00";"50";"9";"59.00";"VARA"
"Fremskrittspartiet";"19 ";"Workinn, Kari";"1964";"0.00";"52";"1";"53.00";"VARA"
"Fremskrittspartiet";"12 ";"Kronstad, Liv";"1952";"0.00";"30";"6";"36.00";"VARA"
"Fremskrittspartiet";"15 ";"Winther, Geir Are";"1960";"0.00";"25";"10";"35.00";"VARA"
"Fremskrittspartiet";"09 ";"Wilsgård, Kristian P.";"1983";"0.00";"29";"0";"29.00";"VARA"
"Fremskrittspartiet";"14 ";"Heitmann, Stian";"1984";"0.00";"26";"3";"29.00";""
"Fremskrittspartiet";"10 ";"Thomassen, Kjellaug";"1950";"0.00";"28";"0";"28.00";""
"Fremskrittspartiet";"18 ";"Hay, Jeanette";"1992";"0.00";"24";"3";"27.00";""
"Fremskrittspartiet";"25 ";"Brekmo, Karl Johan";"1964";"0.00";"21";"1";"22.00";""
"Fremskrittspartiet";"38 ";"Kraknes, Jens Petter";"1948";"0.00";"21";"0";"21.00";""
"Fremskrittspartiet";"26 ";"Workinn, Erlend";"1987";"0.00";"19";"0";"19.00";""
"Fremskrittspartiet";"48 ";"Uteng, Per Tore";"1945";"0.00";"18";"1";"19.00";""
"Fremskrittspartiet";"28 ";"Nordang, Arne";"1951";"0.00";"18";"0";"18.00";""
"Fremskrittspartiet";"17 ";"Johansen, Thomas";"1981";"0.00";"13";"2";"15.00";""
"Fremskrittspartiet";"49 ";"Nyvoll, Svein-Tore";"1984";"0.00";"12";"0";"12.00";""
"Fremskrittspartiet";"34 ";"Nordmo, Dag";"1956";"0.00";"11";"0";"11.00";""
"Fremskrittspartiet";"35 ";"Vang, Hans-Tore";"1960";"0.00";"10";"1";"11.00";""
"Fremskrittspartiet";"41 ";"Devold, Odd-Rune";"1977";"0.00";"9";"1";"10.00";""
"Fremskrittspartiet";"43 ";"Karlsen, Marthe R.";"1989";"0.00";"10";"0";"10.00";""
"Fremskrittspartiet";"46 ";"Albrigtsen, Klaus";"1943";"0.00";"10";"0";"10.00";""
"Fremskrittspartiet";"21 ";"Jæger, Jøran";"1986";"0.00";"9";"0";"9.00";""
"Fremskrittspartiet";"24 ";"Richardsen, Monica";"1974";"0.00";"8";"0";"8.00";""
"Fremskrittspartiet";"22 ";"Rokstad, Sverre Hugo";"1956";"0.00";"6";"1";"7.00";""
"Fremskrittspartiet";"27 ";"Iversen, Norvald";"1945";"0.00";"6";"0";"6.00";""
"Fremskrittspartiet";"30 ";"Hansen, Morten";"1981";"0.00";"6";"0";"6.00";""
"Fremskrittspartiet";"32 ";"Allertsen, Jan";"1957";"0.00";"5";"1";"6.00";""
"Fremskrittspartiet";"36 ";"Johannessen, Erling";"1942";"0.00";"6";"0";"6.00";""
"Fremskrittspartiet";"42 ";"Møller, Jan";"1955";"0.00";"6";"0";"6.00";""
"Fremskrittspartiet";"47 ";"Glad, Eivind";"1971";"0.00";"6";"0";"6.00";""
"Fremskrittspartiet";"16 ";"Eliassen, Ann";"1954";"0.00";"5";"0";"5.00";""
"Fremskrittspartiet";"29 ";"Henriksen, Nina Elisabeth";"1978";"0.00";"5";"0";"5.00";""
"Fremskrittspartiet";"31 ";"Kristiansen, Marianne";"1966";"0.00";"3";"2";"5.00";""
"Fremskrittspartiet";"33 ";"Henriksen, Bente";"1962";"0.00";"5";"0";"5.00";""
"Fremskrittspartiet";"37 ";"Melbye, Vidar Are";"1966";"0.00";"4";"0";"4.00";""
"Fremskrittspartiet";"39 ";"Pettersen, Ella";"1938";"0.00";"4";"0";"4.00";""
"Fremskrittspartiet";"40 ";"Fredriksen, Arne F.";"1946";"0.00";"4";"0";"4.00";""
"Fremskrittspartiet";"45 ";"Larsen, Torstein";"1950";"0.00";"4";"0";"4.00";""
"Fremskrittspartiet";"44 ";"Ingebrigtsen, Svein Ø.";"1942";"0.00";"3";"0";"3.00";""
"Fremskrittspartiet";"23 ";"Hansen, Bente";"1956";"0.00";"1";"0";"1.00";""
"Kystpartiet";"01 x";"Høier, Martin";"1988";"42.25";"25";"14";"81.25";""
"Kystpartiet";"02 ";"Warsame, Ahmed";"1970";"0.00";"11";"8";"19.00";""
"Kystpartiet";"03 ";"Skogland, Vegar";"1961";"0.00";"9";"10";"19.00";""
"Kystpartiet";"04 ";"Arvesen, Lise";"1958";"0.00";"6";"4";"10.00";""
"Kystpartiet";"10 ";"Andreassen, Roy";"1976";"0.00";"8";"0";"8.00";""
"Kystpartiet";"06 ";"Paulsen, Kristian";"1978";"0.00";"4";"2";"6.00";""
"Kystpartiet";"08 ";"Jensen, Norvald";"1938";"0.00";"2";"1";"3.00";""
"Kystpartiet";"09 ";"Andreassen, Svein-Erik";"1969";"0.00";"1";"2";"3.00";""
"Kystpartiet";"05 ";"Alvestad, Rune";"1954";"0.00";"2";"0";"2.00";""
"Kystpartiet";"07 ";"Adriansen, Jarle";"1949";"0.00";"1";"1";"2.00";""
"Kystpartiet";"11 ";"Sørensen, Geir Magne";"1963";"0.00";"1";"1";"2.00";""
"Miljøpartiet De Grønne";"01 x";"Evans, Brynmor";"1972";"148.75";"137";"113";"398.75";"VALGT"
"Miljøpartiet De Grønne";"02 x";"Vögele, Barbara Karin";"1967";"148.75";"79";"38";"265.75";"VARA"
"Miljøpartiet De Grønne";"07 ";"Lie, Svein Anders Noer";"1969";"0.00";"40";"15";"55.00";"VARA"
"Miljøpartiet De Grønne";"03 ";"Hansen, Georg H.";"1960";"0.00";"31";"11";"42.00";"VARA"
"Miljøpartiet De Grønne";"04 ";"Frafjord, Jartrud Sofie";"1981";"0.00";"31";"7";"38.00";"VARA"
"Miljøpartiet De Grønne";"06 ";"Rye, Therese Simonsen";"1979";"0.00";"25";"3";"28.00";""
"Miljøpartiet De Grønne";"05 ";"Franck, Kyrre Gram";"1973";"0.00";"18";"1";"19.00";""
"Miljøpartiet De Grønne";"08 ";"Skaba, Marita Skjerlie";"1986";"0.00";"19";"0";"19.00";""
"Miljøpartiet De Grønne";"12 ";"Rouget, Claude";"1959";"0.00";"11";"4";"15.00";""
"Miljøpartiet De Grønne";"11 ";"Johannessen, Finn Reidar";"1946";"0.00";"11";"2";"13.00";""
"Miljøpartiet De Grønne";"09 ";"Karlsen, Jostein";"1960";"0.00";"12";"0";"12.00";""
"Miljøpartiet De Grønne";"10 ";"Annamo, Eirin";"1963";"0.00";"9";"0";"9.00";""
"Norges kommunistiske parti";"01 x";"Hemmingsen, Iris";"1942";"10.75";"5";"6";"21.75";""
"Norges kommunistiske parti";"02 x";"Johansen, Bjarne H.";"1954";"10.75";"3";"1";"14.75";""
"Norges kommunistiske parti";"03 x";"Schanche, Ingrid";"1950";"10.75";"3";"1";"14.75";""
"Norges kommunistiske parti";"04 x";"Angell, Patrick";"1991";"10.75";"1";"0";"11.75";""
"Norges kommunistiske parti";"06 ";"Schanche, Øyvind";"1982";"0.00";"4";"1";"5.00";""
"Norges kommunistiske parti";"07 ";"Engelskjøn, Torstein";"1943";"0.00";"0";"2";"2.00";""
"Norges kommunistiske parti";"05 ";"Andreassen, Stefan";"1981";"0.00";"1";"0";"1.00";""
