navn,sum-operator,sum-myndighet,avvik-operator,avvik-myndighet,avklart,uavklart
AS Norske Shell,798,2344,507,-2054,-1547,
BG Norge AS,1206,1492,-286,,-286,
Dong E&P Norge AS,3042,3254,-212,,-212,
Marathon Petroleum Company Norway,-3265,-434,-2819,-12,-2831,
Petro-Canada Norge AS,886,,886,,886,
Statoil ASA,254757,40757,214000,,214000,
VNG Norge AS,998,998,,,,
Wintershall Norge ASA,,327,-327,-,-327,
Subtotal,258422,48738,211750,-2066,209683,
Other companies - not licensees,,3385,,-3385,-3385,
