Versjon,Kost2a,Hovedgruppering art,Art,Art(T),Avdkode,Avdeling,Resenhet,Resenhet(T),Okplinv,Okplinv(T),Ansvar,Ansvar(T),Tjområde,Tjområde(T),Tjenes2,Tjenesteområde,Selvkost,Selvkost(T),Tjeneste,Tjeneste(T),Objekt,Objekt(T),Proplan,Proplan(T),Prosjektkode,Prosjekt,Budendr,Budendr(T),Byravd,2012 (fra vedt. øk.plan),2013,2014,2015,2016
12-15VB,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078650,"Brannvesenet, Operativ avdeling, Drift og vedlikehold av transportmidler",07,Brannvesen,07,Brannvesen,J,Ja,33820,Feiing og tilsyn,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EFEBIL,Bilpark feier,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078650,"Brannvesenet, Operativ avdeling, Drift og vedlikehold av transportmidler",07,Brannvesen,07,Brannvesen,N,Nei,33910,Beredskap mot branner og ulykker,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,BUD334,Bilredningsbiler til brannvesenet,38,INV-Rebudsjettering av tidligere vedtatte investeringsmidler,BY,"0,00","2 500 000,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078650,"Brannvesenet, Operativ avdeling, Drift og vedlikehold av transportmidler",07,Brannvesen,07,Brannvesen,N,Nei,33910,Beredskap mot branner og ulykker,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EBEBIL,Bilpark brann,01,Vedtatt budsjett inneværende år,BY,"3 800 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078650,"Brannvesenet, Operativ avdeling, Drift og vedlikehold av transportmidler",07,Brannvesen,07,Brannvesen,N,Nei,33910,Beredskap mot branner og ulykker,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EBEBIL,Bilpark brann,01,Vedtatt budsjett inneværende år,BY,"0,00","3 800 000,00","3 800 000,00","3 800 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078650,"Brannvesenet, Operativ avdeling, Drift og vedlikehold av transportmidler",07,Brannvesen,07,Brannvesen,N,Nei,33910,Beredskap mot branner og ulykker,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EBEBIL,Bilpark brann,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078650,"Brannvesenet, Operativ avdeling, Drift og vedlikehold av transportmidler",07,Brannvesen,07,Brannvesen,N,Nei,33910,Beredskap mot branner og ulykker,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EBEBIL,Bilpark brann,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","3 800 000,00"
13-16IN1,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078650,"Brannvesenet, Operativ avdeling, Drift og vedlikehold av transportmidler",07,Brannvesen,07,Brannvesen,N,Nei,33910,Beredskap mot branner og ulykker,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EBEBIL,Bilpark brann,38,INV-Rebudsjettering av tidligere vedtatte investeringsmidler,BY,"0,00","7 200 000,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078850,"Brannvesenet, Feiing og tilsyn, Drift og vedlikeho",07,Brannvesen,07,Brannvesen,J,Ja,33820,Feiing og tilsyn,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EFEBIL,Bilpark feier,01,Vedtatt budsjett inneværende år,BY,"350 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078850,"Brannvesenet, Feiing og tilsyn, Drift og vedlikeho",07,Brannvesen,07,Brannvesen,J,Ja,33820,Feiing og tilsyn,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EFEBIL,Bilpark feier,01,Vedtatt budsjett inneværende år,BY,"0,00","350 000,00","350 000,00","350 000,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078850,"Brannvesenet, Feiing og tilsyn, Drift og vedlikeho",07,Brannvesen,07,Brannvesen,J,Ja,33820,Feiing og tilsyn,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EFEBIL,Bilpark feier,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,021010,INV Biler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078850,"Brannvesenet, Feiing og tilsyn, Drift og vedlikeho",07,Brannvesen,07,Brannvesen,J,Ja,33820,Feiing og tilsyn,9,Ikke fysisk objekt? Dummy-verdi,BILPARK,Bilpark brann- og feiervesen,EFEBIL,Bilpark feier,31,Diverse endringer,BY,"0,00","0,00","0,00","0,00","350 000,00"
12-15VB,100,Investeringer i anleggsmidler,021010,INV Biler,90,Fellesposter - bykassen,9002,Budsjett-fellesposter,BYKFIN,Finansiering bykassens prosjekter ekskl. BKB,900002,Fellesposter - budsjett,21,Sentrale budsjettposter,21,Sentrale budsjettposter,N,Nei,18080,Tilfeldige utgifter/inntekter - AFP m.m.,9,Ikke fysisk objekt? Dummy-verdi,TRANSP,Kjøp av transportmidler,100018,Kjøp av transportmidler,01,Vedtatt budsjett inneværende år,90,"3 500 000,00","0,00","0,00","0,00","0,00"
13-16IN1,100,Investeringer i anleggsmidler,021090,INV Andre transportmidler,1,Byrådsleders avdeling,0780,Bergen brannvesen,EGEN,Bykassen-investeringer egenregi,078606,"Brannvesenet, Oljevern og sjøsprøyte",07,Brannvesen,07,Brannvesen,N,Nei,33910,Beredskap mot branner og ulykker,9,Ikke fysisk objekt? Dummy-verdi,BRANNBÅT,Båter brannvesenet,EBÅT,Ny brannbåt,31,Diverse endringer,BY,"0,00","0,00","12 000 000,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,023000,INV Nybygg/rehab. anlegg,3,Byrådsavd. for helse og omsorg,0301,BHO - sentrale tiltak,BKB,BKB investering økplan,039001,BKB-BHO - øk.plan investering,03,Tiltak for eldre og særlig omsorgstrengende,03D,Byggdrift: Tiltak for eldre og omsorgstrengende,N,Nei,26110,Byggdrift sykehjem,9,Ikke fysisk objekt? Dummy-verdi,SYKEHJ,Sykehjem,BUD172,Kompetansesenter - demens,01,Vedtatt budsjett inneværende år,BY,"10 000 000,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,023000,INV Nybygg/rehab. anlegg,3,Byrådsavd. for helse og omsorg,0301,BHO - sentrale tiltak,BBB,BBB investering økplan,039002,BBB-BHO - øk.plan investering,04,Sosialtjeneste,04A,Tjenester til rusavhengige og bostedsløse,N,Nei,24360,Botreningstjeneste ikke individrettet,9,Ikke fysisk objekt? Dummy-verdi,PBOSTED,Prosjekt bostedsløse,BUD109,Botreningsprosjektet,01,Vedtatt budsjett inneværende år,BY,"5 000 000,00","0,00","0,00","0,00","0,00"
12-15VB,100,Investeringer i anleggsmidler,023000,INV Nybygg/rehab. anlegg,3,Byrådsavd. for helse og omsorg,0301,BHO - sentrale tiltak,BBB,BBB investering økplan,039002,BBB-BHO - øk.plan investering,04,Sosialtjeneste,04A,Tjenester til rusavhengige og bostedsløse,N,Nei,24360,Botreningstjeneste ikke individrettet,9,Ikke fysisk objekt? Dummy-verdi,PBOSTED,Prosjekt bostedsløse,BUD109,Botreningsprosjektet,31,Diverse endringer,BY,"-5 000 000,00","0,00","0,00","0,00","0,00"
