"vurderingid";"created";"nettstednavn";"url";"poeng";"maxpoeng";"snittprosent";"stjerner";"tilgang_poeng";"tilgang_maxpoeng";"brukertilpass_poeng";"brukertilpass_maxpoeng";"nyttig_poeng";"nyttig_maxpoeng"
"18735";"05/27/2013 09:32:36";"Bioteknologinemnda";"http://www.bion.no/";"67";"100";"67";"4";"16";"36";"23";"29";"28";"35"
"18012";"04/08/2013 10:13:11";"Birkenes kommune";"http://www.birkenes.kommune.no/";"66";"100";"66";"4";"22";"36";"22";"29";"22";"35"
"18014";"04/08/2013 12:03:03";"Bjerkreim kommune";"http://www.bjerkreim.kommune.no";"50";"100";"50";"3";"15";"36";"19";"29";"16";"35"
"18025";"04/09/2013 09:39:12";"Bjugn kommune";"http://www.bjugn.kommune.no/";"58";"100";"58";"4";"20";"36";"17";"29";"21";"35"
"18056";"04/11/2013 08:06:14";"Bodø kommune";"http://www.bodo.kommune.no";"64";"100";"64";"4";"26";"36";"19";"29";"19";"35"
"18731";"05/26/2013 20:46:24";"Bokn kommune";"http://www.bokn.kommune.no";"45";"100";"45";"3";"18";"36";"16";"29";"11";"35"
"18010";"04/08/2013 09:24:30";"Bremanger kommune";"http://www.bremanger.kommune.no/";"61";"100";"61";"4";"20";"36";"17";"29";"24";"35"
"18006";"04/08/2013 08:09:15";"Brønnøy kommune";"http://www.bronnoy.kommune.no/";"53";"100";"53";"3";"23";"36";"18";"29";"12";"35"
"18733";"05/26/2013 21:50:22";"Brønnøysundregistrene";"http://www.brreg.no";"60";"100";"60";"4";"15";"36";"16";"29";"29";"35"
"18070";"04/11/2013 11:38:49";"Buskerud fylkeskommune";"http://www.bfk.no";"60";"100";"60";"4";"21";"36";"22";"29";"17";"35"
"18076";"04/12/2013 09:35:35";"Bygland kommune";"http://www.bygland.kommune.no/";"29";"100";"29";"1";"11";"36";"10";"29";"8";"35"
"18077";"04/12/2013 11:15:59";"Bykle kommune";"http://www.bykle.kommune.no";"49";"100";"49";"3";"15";"36";"13";"29";"21";"35"
"18086";"04/12/2013 14:17:07";"Bærum kommune";"http://www.baerum.kommune.no/";"77";"100";"77";"5";"24";"36";"24";"29";"29";"35"
"18052";"04/10/2013 12:23:38";"Bø kommune (Telemark)";"http://www.bokommune.no/";"72";"100";"72";"5";"28";"36";"20";"29";"24";"35"
"18096";"04/12/2013 15:33:49";"Bø kommune (Vesterålen)";"http://www.boe.kommune.no/";"32";"100";"32";"2";"17";"36";"11";"29";"4";"35"
"18106";"04/13/2013 10:52:13";"Bømlo kommune";"http://www.bomlo.kommune.no";"59";"100";"59";"4";"23";"36";"16";"29";"20";"35"
"18116";"04/13/2013 18:47:48";"Båtsfjord kommune";"http://www.batsfjord.kommune.no/";"46";"100";"46";"3";"23";"36";"16";"29";"7";"35"
"18738";"05/27/2013 12:30:59";"Datatilsynet";"http://www.datatilsynet.no";"67";"100";"69";"4";"18";"36";"28";"29";"21";"35"
