id,navn,fylke,kommune,addresse,aapningstider,lat,lon,url,sistEndret
66515,Solheim grendehus,Akershus,Oppegård,"Bekkenstenvn. 13, 1420 Svartskog","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",59.781611,10.749328,http://valglokaler.no/valglokale/solheim-grendehus/,2015-06-30
66516,Kolbotn skole,Akershus,Oppegård,"Fjellveien 2 A, 1410 Kolbotn","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",59.813314,10.804861,http://valglokaler.no/valglokale/kolbotn-skole/,2015-06-30
66517,Sofiemyr skole,Akershus,Oppegård,"Holbergs vei 37, 1412 Sofiemyr","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",59.797947,10.814989,http://valglokaler.no/valglokale/sofiemyr-skole/,2015-06-30
66519,Blystadlia skole og barnehage,Akershus,Rælingen,"Ulvefaret 32, 2014 Blystadlia","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.931251,11.041324,http://valglokaler.no/valglokale/blystadlia-skole-og-barnehage/,2015-06-30
66520,Rud skole,Akershus,Rælingen,"Skolevegen 22, 2005 Rælingen","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.945614,11.04303,http://valglokaler.no/valglokale/rud-skole/,2015-06-30
66521,Løvenstad skole,Akershus,Rælingen,"Løvenstadvegen 7, 2006 Løvenstad","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.936620,11.027846,http://valglokaler.no/valglokale/lovenstad-skole/,2015-07-03
66522,Fjerdingby skole,Akershus,Rælingen,"Haugerveien 27, 2008 Fjerdingby","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.923743,11.068897,http://valglokaler.no/valglokale/fjerdingby-skole/,2015-06-30
66523,Nordby skole,Akershus,Rælingen,"Tomterstien 33, 2009 Nordby","13.09.2015: kl 13:00-18:00, 14.09.2015: kl 12:00-20:00",59.865569,11.09418,http://valglokaler.no/valglokale/nordby-skole/,2015-06-30
66525,Volla skole,Akershus,Skedsmo,"Nittedalsgata 59, 2000 Lillestrøm",14.09.2015: kl 09:00-21:00,59.958664,11.040824,http://valglokaler.no/valglokale/volla-skole/,2015-06-30
66527,Skedsmo rådhus,Akershus,Skedsmo,"Jonas Lies gate 18, 2000 Lillestrøm",14.09.2015: kl 09:00-21:00,59.954699,11.039522,http://valglokaler.no/valglokale/skedsmo-radhus/,2015-06-30
66528,Vigernes skole,Akershus,Skedsmo,"Vigernesgata, 2004 Lillestrøm",14.09.2015: kl 09:00-21:00,59.955977,11.071837,http://valglokaler.no/valglokale/vigernes-skole/,2015-06-30
66529,Sten-Tærud skole,Akershus,Skedsmo,"Gjoleidveien 21, 2019 Skedsmokorset",14.09.2015: kl 09:00-21:00,59.996948,11.040316,http://valglokaler.no/valglokale/sten-taerud-skole/,2015-06-30
66530,Brånås skole,Akershus,Skedsmo,"Brånåsveien 42, 2019 Skedsmokorset",14.09.2015: kl 09:00-21:00,59.999158,11.02272,http://valglokaler.no/valglokale/branas-skole/,2015-06-30
66531,Stav skole,Akershus,Skedsmo,"Øvre Ryensvei 46, 2013 Skjetten",14.09.2015: kl 09:00-21:00,59.964119,10.999632,http://valglokaler.no/valglokale/stav-skole/,2015-06-30
66532,Gjellerås skole,Akershus,Skedsmo,"Karisveien 18, 2013 Skjetten",14.09.2015: kl 09:00-21:00,59.966053,11.00087,http://valglokaler.no/valglokale/gjelleras-skole/,2015-06-30
66533,Strømmen bibliotek,Akershus,Skedsmo,"Støperiveien 28, 2010 Strømmen",14.09.2015: kl 09:00-21:00,59.948316,11.009872,http://valglokaler.no/valglokale/strommen-bibliotek/,2015-06-30
66534,Asak skole,Akershus,Skedsmo,"Branderudveien 91, 2015 Leirsund",14.09.2015: kl 09:00-21:00,59.995467,11.108208,http://valglokaler.no/valglokale/asak-skole/,2015-06-30
66535,Samfunnshuset på Skedsmokorset,Akershus,Skedsmo,"Furuveien 1, 2020 Skedsmokorset",14.09.2015: kl 09:00-21:00,60.001454,11.040187,http://valglokaler.no/valglokale/samfunnshuset-pa-skedsmokorset/,2015-06-30
66536,Langhus skole,Akershus,Ski,"Bøhlerveien 4, 1405 Langhus","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.747098,10.839424,http://valglokaler.no/valglokale/langhus-skole/,2015-06-30
66537,Ski skole,Akershus,Ski,"Kirkevegen 21, 1400 Ski","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.721254,10.845577,http://valglokaler.no/valglokale/ski-skole/,2015-06-30
66538,Vevelstadåsen skole,Akershus,Ski,"Vevelstadåsen 30, 1405 Langhus","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.757249,10.848366,http://valglokaler.no/valglokale/vevelstadasen-skole/,2015-06-30
66539,Bøleråsen skole,Akershus,Ski,"Bølerkollen 2, 1405 Langhus","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.764809,10.855576,http://valglokaler.no/valglokale/bolerasen-skole/,2015-06-30
66540,Hebekk skole,Akershus,Ski,"Sørjordet 7, 1400 Ski","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.724781,10.833423,http://valglokaler.no/valglokale/hebekk-skole/,2015-06-30
66542,Finstad skole,Akershus,Ski,"Markveien 24, 1406 Ski","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.715628,10.821759,http://valglokaler.no/valglokale/finstad-skole-3/,2015-06-30
66543,Kråkstadhallen,Akershus,Ski,"Kråkstadveien 134, 1408 Kråkstad","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.677677,10.885029,http://valglokaler.no/valglokale/krakstadhallen/,2015-06-30
66545,Siggerudhallen,Akershus,Ski,"Gamle Siggerudvei 4, 1404 Siggerud","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 09:00-21:00",59.790040,10.887160,http://valglokaler.no/valglokale/siggerudhallen/,2015-06-30
66546,Fjuk skole,Akershus,Sørum,"Skåningsrudvegen 1, 1925 Blaker","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",59.991039,11.371031,http://valglokaler.no/valglokale/fjuk-skole/,2015-06-30
66547,Bingsfoss ungdomsskole,Akershus,Sørum,"Vendom 8, 1920 Sørumsand","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",59.988046,11.251983,http://valglokaler.no/valglokale/bingsfoss-ungdomsskole/,2015-06-30
66548,Sørum skole,Akershus,Sørum,"Bingenvegen 2-4, 1923 Sørum","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.010409,11.237029,http://valglokaler.no/valglokale/sorum-skole/,2015-06-30
66549,Haugtun skole,Akershus,Sørum,"Toreidvegen 19, 1925 Blaker","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.000442,11.317017,http://valglokaler.no/valglokale/haugtun-skole/,2015-06-30
66550,Vesterskaun skole,Akershus,Sørum,"Vilbergvegen 3, 2016 Frogner","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.021151,11.165882,http://valglokaler.no/valglokale/vesterskaun-skole/,2015-06-30
66552,Melvold ungdomsskole,Akershus,Sørum,"Trondheimsvegen 376, 2016 Frogner","13.09.2015: kl 16:00-20:00, 14.09.2015: kl 10:00-21:00",60.025985,11.105360,http://valglokaler.no/valglokale/melvold-ungdomsskole/,2015-06-30
