tailid;address1;address2;address3;address4;postalcode;city;country
31584;"Postboks 684";;;;4305;Sandnes;Norge
34203;"Uninett Norid AS";;;;7465;Trondheim;Norge
34021;"Postboks 694";;;;4305;Sandnes;Norge
38442;NTNU;;;;7491;Trondheim;Norge
34402;"Postboks 446";;;;2303;Hamar;Norge
35581;"Storgata 12-14";;;;6413;Molde;Norge
38943;"Postboks 199, Sentrum";;;;4001;Stavanger;Norge
38702;"Postboks 633";;;;9171;Longyearbyen;Norge
38443;"Paviljong B";;;;7491;Trondheim;Norge
38942;"Postboks 6043 Sluppen";;;;7434;Trondheim;Norge
38944;"Postboks 773 Sentrum";;;;5807;Bergen;Norge
33961;"Postboks 1179 Sentrum";;;;0107;Oslo;Norge
31681;"Postboks 8055 Dep";;;;0031;Oslo;Norge
30950;"Postboks 10";;;;5201;Os;Norge
30951;;;;;7740;Steinsdalen;Norge
30952;"Postboks 8155 Dep";;;;0033;Oslo;Norge
30953;"Postboks 34";;;;5293;Lonevåg;Norge
30954;"Postboks 33";;;;7864;Overhalla;Norge
30955;"Boks 233";;;;9711;Lakselv;Norge
30956;"Postboks 47";;;;3701;Skien;Norge
30957;"Postboks 33";;;;5902;Isdalstø;Norge
30958;"Indfustriveien 4";;;;1890;Rakkestad;Norge
30959;"Postboks 1373";;;;8602;"Mo i Rana";Norge
30960;"Postboks 18";;;;4096;Randaberg;Norge
30961;"Postboks 86";;;;6301;Åndalsnes;Norge
30962;"Postboks 2073";;;;3103;Tønsberg;Norge
30963;Bergset;;;;2485;Rendalen;Norge
30964;Berkåk;;;;7391;Rennebu;Norge
30965;"Postboks 3";;;;4159;Rennesøy;Norge
30966;"Postbok 34";;;;6650;Surnadal;Norge
30967;"Nedregate 1";;;;2640;Vinstra;Norge
39183;"Postboks 133";;;;9811;Vadsø;Norge
40302;"Postboks 6310";;;;9293;Tromsø;Norge
41002;"Nesttunbrekka 95";;;;5221;Nesttun;Norge
39642;"Glitneveien 22";;;;3151;Tolvsrød;Norge
39662;"Postboks 53";;;;1740;Borgenhaugen;Norge
40327;"Postboks 6310";;;;9293;Tromsø;Norge
40330;"Postboks 6310";;;;9293;Tormsø;Norge
40331;"Postboks 6310";;;;9293;Tromsø;Norge
40344;"Postboks 6310";;;;9293;Tromsø;Norge
40345;"Postboks 6310";;;;9293;Tromsø;Norge
40346;"Postboks 6310";;;;9293;Tromsø;Norge
40348;"Postboks 6310";;;;9293;Tromsø;Norge
40350;"Postboks 6310";;;;9293;Tromsø;Norge
