tailid,address1,address2,address3,address4,postalcode,city,country
25852,,,,,7882,Nordli,Norge
25853,Postboks 986,,,,2626,Lillehammer,Norge
25856,Postboks 183,,,,4524,Lindesnes,Norge
25857,Kvernhusmyrane 20,,,,5914,Isdalstø,Norge
25858,Postboks 602,,,,9306,Finnsnes,Norge
25859,,,,,2665,Lesja,Norge
25863,Midtgard,,,,2686,Lom,Norge
25865,Parkveien 1/3,,,,9550,Øksfjord,Norge
25866,Postboks 2016 Vika,,,,0125,Oslo,Norge
25867,Moiveien 9,,,,4460,Moi,Norge
25868,Sandsvegen 1,,,,2740,Roa,Norge
25870,P.O.Box 34570,Lusaka,,,,,Zambia
25871,,,,,6868,Gaupne,Norge
25872,Postboks 353,,,,4577,Lyngdal,Norge
25875,Postboks 83,,,,6886,Lærdal,Norge
25876,Postboks 83,,,,8411,Lødingen,Norge
25878,Postboks 113,,,,2341,Løten,Norge
25879,Apartado de Correos 6132,28080 Madrid,,,,,Spania
27008,,,,,7316,Lensvik,Norge
27015,Postboks 3563,,,,3007,Drammen,Norge
27016,,,,,1798,Aremark,Norge
27017,Postboks C,,,,1801,Askim,Norge
27019,Kommunehuset,,,,2890,Etnedal,Norge
27021,Postboks 780 Stoa,,,,4809,Arendal,Norge
27022,Postboks 174,,,,6988,Askvoll,Norge
27025,Sunnaas sykehus TRS,,,,1450,Nesoddtangen,Norge
27026,Postboks 6122,,,,9291,Tromsø,Norge
27027,Arne Garborgs plass 1,,,,0179,Oslo,Norge
40567,Postboks 4745 Sluppen,,,,7468,Trondheim,Norge
40582,Postboks 2463,,,,9272,Tromsø,Norge
40583,Damsveien 1,,,,9815,Vadsø,Norge
33441,Postboks 9354 Grønland,,,,0135,Oslo,Norge
40702,Postboks 143,,,,2601,Lillehammer,Norge
40703,Sognefjordvegen 56,,,,6863,Leikanger,Norge
40704,Postboks 574,,,,1703,Sarpsborg,Norge
40705,Serviceboks 622,,,,4606,Kristiansand,Norge
40706,Postboks 6603 St.Olavs plass,,,,0129,OSLO,Norge
40722,Postboks 36 Kalbakken,,,,0901,Oslo,Norge
23130,"Postboks 7100, St.. Olavs plass",,,,0130,Oslo,Norge
25564,Rådhuset,,,,7353,Børsa,Norge
25565,Postboks 313,,,,2001,Lillestrøm,Norge
25566,Postboks 158,,,,3701,Skien,Norge
25570,Postboks 2025,,,,3247,Sandefjord,Norge
25572,Postboks 300,,,,3071,Sande i Vestfold,Norge
25573,,,,,6084,Larsnes,Norge
25575,,,,,6487,Harøy,Norge
25576,"San Sebastián 2839, Of. 509",Las Condes,Casilla 2431,,,,Santiago
25577,Postboks 327,,,,1702,Sarpsborg,Norge
21661,Postboks 64,,,,5575,Aksdal,Norge
21663,Postboks 94,,,,5751,Odda,Norge
21664,Postboks 94,,,,5751,Odda,Norge
21665,Steinsdalsvegen 104,,,,5600,Norheimsund,Norge
21666,Postboks 94,,,,5751,Odda,Norge
21667,Postboks 100,,,,5701,Voss,Norge
21668,Postboks 8,,,,4301,Sandnes,Norge
21672,,,,,5392,Storebø,Norge
21674,,,,,5445,Bremnes,Norge
21675,Postboks 70,,,,5591,Etne,Norge
21678,Postboks 47,,,,3701,Skien,Norge
21679,Postboks 47,,,,3701,Skien,Norge
21680,Postboks 47,,,,3701,Skien,Norge
21681,Postboks 83,,,,4836,Arendal,Norge
21683,Postboks 55,,,,4951,Risør,Norge
21684,Postboks 70,,,,4795,Birkeland,Norge
21685,Postboks 4,,,,4820,Froland,Norge
21687,Postboks 83,,,,4791,Lillesand,Norge
21691,,,,,4865,Åmli,Norge
21693,Serviceboks 514,,,,4605,Kristiansand,Norge
21694,Postboks 514,,,,4605,Kristiansand,Norge
21695,Postboks 36,,,,4745,Bygland,Norge
21696,Postboks 94,,,,4735,Evje,Norge
21697,Postboks 5,,,,4684,Brennåsen,Norge
21698,,,,,4747,Valle,Norge
40762,Postboks 6,,,,9980,Berlevåg,Norge
40782,Postboks 23,,,,7801,Namsos,Norge
25999,Hofslundveien 5,,,,3090,Hof,Norge
26001,Ålmannvegen 8,,,,3576,Hol,Norge
27181,Postboks 6682 Etterstad,,,,0609,Oslo,Norge
27183,Tidemands gate 11,,,,0244,Oslo,Norge
27193,Drammensveien 103 D,,,,0244,Oslo,Norge
27197,C. J. Hambros plass 5,,,,0164,Oslo,Norge
27199,Postboks 6954 St. Olavs plass,,,,0130,Oslo,Norge
27204,Drammensveien 39,,,,0244,Oslo,Norge
21797,,,,,2500,Tynset,Norge
21798,Postboks 33,,,,2451,Rena,Norge
21800,Nedregate 1,,,,2640,Vinstra,Norge
21801,Postboks 13,,,,2649,Østre Gausdal,Norge
21803,Postboks 8,,,,2688,Lom,Norge
21806,,,,,2690,Skjåk,Norge
21807,Postboks 100,,,,2684,Vågå,Norge
22828,Gjerstadsenteret,,,,4980,Gjerstad,Norge
22829,Postboks 293,,,,4892,Grimstad,Norge
22830,Birketveit,,,,4724,Iveland,Norge
22831,Postboks 174,,,,4792,Lillesand,Norge
22832,Postboks 327,,,,4953,Risør,Norge
22833,Postboks 83,,,,4901,Tvedestrand,Norge
22834,,,,,4747,Valle,Norge
22835,,,,,4985,Vegårshei,Norge
22836,Postboks 54,,,,4864,Åmli,Norge
22837,Torvet 6,,,,4836,Arendal,Norge
22838,Serviceboks 786,,,,4809,Arendal,Norge
22839,Postboks 39,,,,4795,Birkeland,Norge
22840,,,,,4745,Bygland,Norge
