aar,video_url,kommune,tittel,tema,hva_er_spesielt,folelse,antrekk,type_bygg_og_industri,type_historisk,type_natur_og_idrett,type_kunst_og_haandverk,type_idrett_og_fysisk_aktivitet,tema_samlere_entusiaster_og_oppfinnere,tema_vitenskap,relasjoner,type_musikere,type_mat,type_dyr,antall_menn,antall_kvinner,tema_natur_og_friluftsliv,tema_kjop_og_salg,type_landbruk_og_fiske,offentlige_tjenester_og_veldedighet,hovedperson1_kjonn,hovedperson2_kjonn,hovedperson3_kjonn,hovedperson1_alder,hovedperson2_alder,hovedperson3_alder,tema_politikk_og_media
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008877/22-01-1977#t=30m49s,Trondheim,Teater om veiplan,Kunst og Håndverk,,,Slips,,,,Teater og forestillinger,,,,,,,,5,5,,,,,Kvinne,,,20 til 30,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008977/05-02-1977#t=38s,Sogndal,Til fjells med Televerket,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,3,,,,,Post og tele,Mann,Mann,,30 til 40,40 til 50,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008977/05-02-1977#t=8m57s,Halden,Dyreutstilling på Halden Lærerskole,Offentlige tjenester og veldedighet,,,Slips,,,,,,,,,,,,7,7,,,,Skole,Mann,,,40 til 50,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008977/05-02-1977#t=12m29s,Oslokommune,NSB sentralskiftestasjon,Offentlige tjenester og veldedighet,,,"Caps, Kjeledress, Skinnlue",,,,,,,,,,,,10,,,,,"Post og tele, Jernbane",,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008977/05-02-1977#t=19m48s,Tønsberg,Ungdom og fritid,Politikk og media,,,,,,,,,,,,,,,5,6,,,,,Kvinne,Mann,Kvinne,30 til 40,15 til 20,15 til 20,Ungdomspolitikk
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008977/05-02-1977#t=25m56s,Bodø,Gratis frokostpakke til alle passasjerer,Mat,,,Uniform,,,,,,,,,,Frokost,,,3,,,,,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008977/05-02-1977#t=27m40s,Fræna,Kombinert bank- og bokbuss,Offentlige tjenester og veldedighet,Spesielle kombinasjoner,,Slips,,,,,,,,,,,,6,10,,,,Bibliotek,Mann,Mann,Kvinne,30 til 40,50 til 60,20 til 30,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41008977/05-02-1977#t=32m38s,Sortland,Stort orgel,Kunst og Håndverk,Hjemmelaget,,,,,,"Instrumentmaking, Orgelbygging",,,,,,,,1,,,,,,Mann,,,60 til 70,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009077/19-02-1977#t=27s,Ukjent sted,Folk i Sogn og Fjordane klager minst,Ukategoriserbart,,Ler,,,,,,,,,,,,,,,,,,,,,,,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009077/19-02-1977#t=3m34s,Båtsfjord,"Sildoljefabrikken ""Norglobal""",Landbruk og fiske,,Wow,"Caps, Kjeledress, Skinnlue",,,,,,,,,,,,6,,,,Fiskere,,Mann,Mann,,40 til 50,60 til 70,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009077/19-02-1977#t=11m43s,Lillehammer,Årets vinterferie,Natur og friluftsliv,,,,,,,,,,,,,,,20,20,"Skitur, Turisme",,,,Mann,,,30 til 40,,,
1977,https://tv.nrk.no/serie/norge-rundt/FREP41009077/19-02-1977#t=16m26s,Verran,Arbeidsledighet blant kvinner,Offentlige tjenester og veldedighet,,,,,,,,,,,,,,,5,10,,,,Skole,Kvinne,Mann,Mann,40 til 50,30 til 40,15 til 20,
