tailid;intcode;phone;phonecomment;type
21467;+47;02800;;Telefon
21467;+47;77 04 36 00;;Telefon
21468;+47;02800;;Telefon
21468;+47;77 04 36 00;;Telefon
21469;+47;02800;;Telefon
21469;+47;76 09 80 00;;Telefon
21471;+47;02800;;Telefon
21471;+47;77 04 36 00;;Telefon
21472;+47;02800;;Telefon
21472;+47;77 04 36 00;;Telefon
21473;+47;02800;;Telefon
21473;+47;77 85 66 20;;Telefon
21475;+47;02800;;Telefon
21475;+47;77 04 36 00;;Telefon
21476;+47;02800;;Telefon
21476;+47;77 04 36 00;;Telefon
21477;+47;02800;;Telefon
21477;+47;77 04 36 00;;Telefon
21479;+47;02800;;Telefon
21479;+47;77 86 23 70;;Telefon
21480;+47;02800;;Telefon
21480;+47;77 69 85 00;;Telefon
21482;+47;02800;;Telefon
21482;+47;77 72 24 00;;Telefon
21484;+47;02800;;Telefon
21484;+47;77 74 82 00;;Telefon
21485;+47;02800;;Telefon
21485;+47;77 85 22 40;;Telefon
21486;+47;02800;;Telefon
21486;+47;77 71 58 00;;Telefon
21487;+47;02800;;Telefon
21487;+47;77 83 89 60;;Telefon
21488;+47;02800;;Telefon
21488;+47;77 76 43 00;;Telefon
21489;+47;02800;;Telefon
21489;+47;77 76 30 00;;Telefon
21490;+47;02800;;Telefon
21490;+47;78 42 80 00;;Telefon
21492;+47;02800;;Telefon
21492;+47;78 42 80 00;;Telefon
21493;+47;02800;;Telefon
21493;+47;78 42 80 00;;Telefon
21494;+47;02800;;Telefon
21494;+47;75 76 57 80;;Telefon
21495;+47;02800;;Telefon
21495;+47;77 04 36 00;;Telefon
21496;+47;02800;;Telefon
21496;+47;77 04 36 00;;Telefon
21497;+47;02800;;Telefon
21497;+47;77 04 36 00;;Telefon
21498;+47;02800;;Telefon
21498;+47;77 04 36 00;;Telefon
21499;+47;02800;;Telefon
21499;+47;77 04 36 00;;Telefon
21500;+47;02800;;Telefon
21500;+47;74 34 30 10;;Telefon
21501;+47;02800;;Telefon
21501;+47;74 12 10 00;;Telefon
21502;+47;02800;;Telefon
21502;+47;74 28 24 60;;Telefon
21503;+47;02800;;Telefon
21503;+47;74 12 10 00;;Telefon
21504;+47;02800;;Telefon
21504;+47;75 03 19 20;;Telefon
21505;+47;02800;;Telefon
21505;+47;75 14 33 00;;Telefon
21506;+47;02800;;Telefon
21506;+47;75 16 39 00;;Telefon
21507;+47;02800;;Telefon
21507;+47;75 08 80 59;;Telefon
21508;+47;02800;;Telefon
21508;+47;75 11 27 00;;Telefon
21509;+47;02800;;Telefon
21509;+47;75 11 27 00;;Telefon
21510;+47;02800;;Telefon
21510;+47;75 04 50 01;;Telefon
21511;+47;02800;;Telefon
21511;+47;75 02 40 20;;Telefon
21512;+47;02800;;Telefon
21512;+47;75 18 30 00;;Telefon
21513;+47;02800;;Telefon
21513;+47;75 05 90 80;;Telefon
21514;+47;02800;;Telefon
21514;+47;75 02 99 10;;Telefon
21515;+47;02800;;Telefon
21515;+47;75 03 68 00;;Telefon
21516;+47;02800;;Telefon
21516;+47;75 54 58 00;;Telefon
21519;+47;02800;;Telefon
21519;+47;75 64 81 00;;Telefon
21520;+47;02800;;Telefon
21520;+47;75 75 99 00;;Telefon
21521;+47;02800;;Telefon
21521;+47;75 71 95 00;;Telefon
21522;+47;02800;;Telefon
21522;+47;75 09 89 20;;Telefon
21523;+47;02800;;Telefon
21523;+47;75 69 37 00;;Telefon
21524;+47;02800;;Telefon
21524;+47;75 77 90 80;;Telefon
21526;+47;02800;;Telefon
21526;+47;77 04 36 00;;Telefon
21528;+47;02800;;Telefon
21528;+47;77 04 36 00;;Telefon
21529;+47;02800;;Telefon
21529;+47;77 04 36 00;;Telefon
21530;+47;02800;;Telefon
21530;+47;74 12 33 70;;Telefon
21532;+47;02800;;Telefon
21532;+47;74 22 12 20;;Telefon
21533;+47;02800;;Telefon
21533;+47;74 31 25 80;;Telefon
21534;+47;02800;;Telefon
21534;+47;74 39 90 00;;Telefon
21535;+47;02800;;Telefon
21535;+47;72 51 67 00;;Telefon
21536;+47;02800;;Telefon
21536;+47;72 57 81 00;;Telefon
21537;+47;02800;;Telefon
21537;+47;72 46 40 00;;Telefon
21538;+47;02800;;Telefon
21538;+47;72 45 48 60;;Telefon
21539;+47;02800;;Telefon
21539;+47;72 44 20 00;;Telefon
21540;+47;02800;;Telefon
21540;+47;72 40 53 40;;Telefon
21541;+47;02800;;Telefon
21541;+47;73 97 38 00;;Telefon
21542;+47;02800;;Telefon
21542;+47;72 49 57 80;;Telefon
21543;+47;02800;;Telefon
21543;+47;72 87 83 30;;Telefon
21544;+47;02800;;Telefon
21544;+47;72 43 30 00;;Telefon
21545;+47;02800;;Telefon
21545;+47;72 40 48 30;;Telefon
21547;+47;02800;;Telefon
21547;+47;72 42 82 60;;Telefon
21548;+47;02800;;Telefon
21548;+47;73 85 61 00;;Telefon
21549;+47;02800;;Telefon
21549;+47;72 41 97 40;;Telefon
21550;+47;02800;;Telefon
21550;+47;73 81 69 20;;Telefon
21551;+47;02800;;Telefon
21551;+47;72 86 29 40;;Telefon
21552;+47;02800;;Telefon
21552;+47;72 51 59 20;;Telefon
21553;+47;02800;;Telefon
21553;+47;72 53 36 00;;Telefon
21554;+47;02800;;Telefon
21554;+47;72 59 62 20;;Telefon
21555;+47;02800;;Telefon
21555;+47;72 83 46 80;;Telefon
21556;+47;02800;;Telefon
21556;+47;74 12 10 00;;Telefon
21557;+47;02800;;Telefon
21557;+47;74 80 90 90;;Telefon
21558;+47;02800;;Telefon
21558;+47;74 15 43 30;;Telefon
21559;+47;02800;;Telefon
21559;+47;74 85 42 50;;Telefon
21560;+47;02800;;Telefon
21560;+47;74 08 39 40;;Telefon
21561;+47;02800;;Telefon
21561;+47;74 81 34 70;;Telefon
21562;+47;02800;;Telefon
21562;+47;74 27 86 50;;Telefon
21563;+47;02800;;Telefon
21563;+47;74 13 84 80;;Telefon
21564;+47;02800;;Telefon
21564;+47;74 83 91 00;;Telefon
21565;+47;02800;;Telefon
21565;+47;74 04 46 00;;Telefon
21566;+47;02800;;Telefon
21566;+47;71 54 44 20;;Telefon
21567;+47;02800;;Telefon
