vurderingid;created;nettstednavn;url;poeng;maxpoeng;snittprosent;stjerner;tilgang_poeng;tilgang_maxpoeng;brukertilpass_poeng;brukertilpass_maxpoeng;nyttig_poeng;nyttig_maxpoeng
15885;09/22/2011 13:17:05;Hitra kommune;http://www.hitra.kommune.no/;48;93;52;3;9;28;17;30;22;35
15042;08/20/2011 14:04:37;Hjartdal kommune;http://www.hjartdal.kommune.no;40;93;43;3;16;28;13;30;11;35
15653;09/14/2011 13:57:04;Hjelmeland kommune;http://www.hjelmeland.kommune.no;66;93;71;5;22;28;16;30;28;35
15797;09/19/2011 17:20:34;Hobøl kommune;http://www.hobol.kommune.no;66;93;71;5;16;28;19;30;31;35
15356;08/31/2011 16:16:22;Hof kommune;http://www.hof.kommune.no;66;93;71;5;20;28;19;30;27;35
15498;09/07/2011 13:52:19;Hol kommune;http://www.hol.kommune.no;59;93;63;4;18;28;17;30;24;35
17105;10/22/2011 19:48:04;Hole kommune;http://www.hole.kommune.no/;79;93;85;6;21;28;23;30;35;35
15905;09/22/2011 19:09:13;Holmestrand kommune;http://www.holmestrand.kommune.no/;51;93;55;3;14;28;17;30;20;35
15792;09/19/2011 17:02:33;Holtålen kommune;http://www.holtalen.kommune.no/;52;93;56;3;12;28;19;30;21;35
15915;09/23/2011 07:34:25;Hordaland fylkeskommune;http://www.hordaland.no/;62;93;67;4;18;28;23;30;21;35
15711;09/16/2011 10:31:48;Hornindal kommune;http://www.hornindal.kommune.no;57;93;61;4;13;28;21;30;23;35
15935;09/23/2011 13:29:01;Horten kommune;http://www.horten.kommune.no/;52;93;56;3;13;28;11;30;28;35
15528;09/09/2011 08:49:47;Hurdal kommune;http://www.hurdal.kommune.no/;54;93;58;4;13;28;19;30;22;35
15955;09/23/2011 18:27:35;Hurum kommune;http://www.hurum.kommune.no;66;93;71;5;20;28;21;30;25;35
15515;09/08/2011 12:20:58;Husbanken;http://www.husbanken.no/;78;93;84;6;23;28;26;30;29;35
15965;09/23/2011 22:04:15;Hvaler kommune;http://www.hvaler.kommune.no/;59;93;63;4;18;28;20;30;21;35
15708;09/16/2011 10:29:13;Hyllestad kommune;http://www.hyllestad.kommune.no;71;93;76;5;23;28;20;30;28;35
15505;09/07/2011 13:59:15;Hægebostad kommune;http://www.haegebostad.kommune.no/;43;93;46;3;12;28;17;30;14;35
16715;10/15/2011 19:40:29;Høgskolen i Bergen;http://www.hib.no/;83;93;89;6;27;28;26;30;30;35
16717;10/15/2011 19:40:55;Høgskolen i Buskerud, Kongsberg;http://www.hibu.no/;59;93;63;4;17;28;19;30;23;35
16718;10/15/2011 19:41:09;Høgskolen i Finnmark;http://www.hifm.no/;58;93;62;4;16;28;21;30;21;35
16719;10/15/2011 19:41:13;Høgskolen i Gjøvik;http://www.hig.no/;63;93;68;4;18;28;22;30;23;35
16720;10/15/2011 19:41:16;Høgskolen i Harstad;http://www.hih.no/;53;93;57;3;10;28;19;30;24;35
16721;10/15/2011 19:41:20;Høgskolen i Hedmark;http://www.hihm.no/;59;93;63;4;18;28;16;30;25;35
16722;10/15/2011 19:41:23;Høgskolen i Lillehammer;http://www.hil.no/;60;93;65;4;14;28;23;30;23;35
16723;10/15/2011 19:41:28;Høgskolen i Molde;http://www.himolde.no/;52;93;56;3;15;28;14;30;23;35
16724;10/15/2011 19:41:31;Høgskolen i Narvik;http://www.hin.no/;38;93;41;2;9;28;10;30;19;35
16725;10/15/2011 19:41:34;Høgskolen i Nesna;http://www.hinesna.no;55;93;59;4;12;28;21;30;22;35
16726;10/15/2011 19:41:55;Høgskolen i Nord-Trøndelag;http://www.hint.no;59;93;63;4;19;28;18;30;22;35
17172;10/24/2011 11:12:19;Høgskolen i Oslo og Akershus;http://www.hioa.no/;56;93;60;4;17;28;17;30;22;35
16727;10/15/2011 19:41:58;Høgskolen i Sogn og Fjordane;http://www.hisf.no;69;93;74;5;23;28;24;30;22;35
16728;10/15/2011 19:42:02;Høgskolen i Stord/Haugesund;http://www.hsh.no;64;93;69;4;19;28;22;30;23;35
16729;10/15/2011 19:42:05;Høgskolen i Sør-Trøndelag;http://www.hist.no/;61;93;66;4;14;28;19;30;28;35
16730;10/15/2011 19:42:08;Høgskolen i Telemark;http://www.hit.no/;66;93;71;5;20;28;22;30;24;35
16732;10/15/2011 19:42:16;Høgskolen i Vestfold;http://www.hive.no/;68;93;73;5;19;28;23;30;26;35
16733;10/15/2011 19:42:19;Høgskolen i Volda;http://www.hivolda.no/;65;93;70;5;22;28;19;30;24;35
16734;10/15/2011 19:42:23;Høgskolen i Østfold;http://www.hiof.no/;38;93;41;2;5;28;9;30;24;35
16735;10/15/2011 19:42:27;Høgskolen i Ålesund;http://www.hials.no/;60;93;65;4;15;28;19;30;26;35
17045;10/22/2011 12:17:46;Høyanger kommune;http://www.hoyanger.kommune.no;71;93;76;5;20;28;22;30;29;35
15975;09/24/2011 07:30:58;Høylandet kommune;http://www.hoylandet.kommune.no/;54;93;58;4;12;28;17;30;25;35
15976;09/24/2011 08:58:02;Hå kommune;http://www.ha.kommune.no/;70;93;75;5;22;28;22;30;26;35
15985;09/24/2011 11:06:44;Ibestad kommune;http://www.ibestad.kommune.no/;49;93;53;3;19;28;19;30;11;35
16120;09/28/2011 13:57:00;IFE - Institutt for energiteknikk;http://www.ife.no;41;93;44;3;13;28;20;30;8;35
15365;09/01/2011 13:22:51;IMDi - Integrerings- og mangfoldsdirektoratet;http://www.imdi.no/;48;93;52;3;13;28;21;30;14;35
16025;09/25/2011 08:59:08;Inderøy kommune;http://www.inderoy.kommune.no/;71;93;76;5;23;28;23;30;25;35
16275;10/03/2011 12:32:52;Innovasjon Norge;http://www.invanor.no/;49;93;53;3;17;28;17;30;15;35
16026;09/25/2011 10:17:56;Iveland kommune;http://www.iveland.kommune.no;35;93;38;2;12;28;8;30;15;35
16278;10/03/2011 14:47:37;Jernbaneverket;http://www.jernbaneverket.no/;68;93;73;5;19;28;26;30;23;35
16035;09/26/2011 10:55:13;Jevnaker kommune;http://www.jevnaker.kommune.no/;44;93;47;3;11;28;13;30;20;35
16037;09/26/2011 13:08:37;Jondal kommune;http://www.jondal.kommune.no/;53;93;57;3;17;28;13;30;23;35
16316;10/05/2011 14:58:05;Justervesenet;http://www.justervesenet.no/;61;93;66;4;18;28;22;30;21;35
16935;10/21/2011 12:53:50;Justis- og beredskapsdepartementet;http://www.regjeringen.no/nb/dep/jd;67;93;72;5;23;28;23;30;21;35
16039;09/26/2011 15:49:14;Jølster kommune;http://www.jolster.kommune.no/;71;93;76;5;25;28;18;30;28;35
16055;09/27/2011 08:02:08;Karasjok kommune - Kárásjoga gielda;http://www.karasjok.kommune.no/;39;93;42;2;18;28;15;30;6;35
16045;09/26/2011 20:20:30;Karlsøy kommune;http://www.karlsoy.kommune.no;56;93;60;4;15;28;20;30;21;35
16065;09/27/2011 09:54:14;Karmøy kommune;http://www.karmoy.kommune.no;72;93;77;5;23;28;23;30;26;35
16346;10/06/2011 13:41:30;Klagenemnda for offentlige anskaffelser;http://www.kofa.no;49;93;53;3;19;28;23;30;7;35
16075;09/27/2011 13:08:31;Klepp kommune;http://www.klepp.kommune.no/;72;93;77;5;21;28;23;30;28;35
15186;08/25/2011 13:31:26;Klima- og forurensningsdirektoratet;Nedlagt;76;93;82;6;18;28;26;30;32;35
16085;09/27/2011 20:19:38;Klæbu kommune;http://www.klabu.kommune.no/;53;93;57;3;16;28;21;30;16;35
16945;10/21/2011 13:56:01;Kommunal- og regionaldepartementet;http://www.regjeringen.no/nb/dep/krd;67;93;72;5;25;28;22;30;20;35
16117;09/28/2011 12:39:45;Konfliktrådet;http://www.konfliktraadet.no/;20;93;22;1;7;28;10;30;3;35
17245;11/23/2011 14:40:45;Kongehuset;http://www.kongehuset.no;65;93;70;5;13;28;23;30;29;35
15047;08/20/2011 14:05:52;Kongsberg kommune;http://www.kongsberg.kommune.no;65;93;70;5;18;28;21;30;26;35
17106;10/22/2011 19:48:37;Kongsvinger kommune;http://www.kongsvinger.kommune.no;78;93;84;6;19;28;26;30;33;35
16336;10/06/2011 10:58:54;Konkurransetilsynet;http://www.konkurransetilsynet.no/;74;93;80;6;21;28;28;30;25;35
16095;09/28/2011 08:05:20;Kragerø kommune;http://www.kragero.kommune.no;77;93;83;6;25;28;25;30;27;35
16706;10/15/2011 17:50:14;Kristiansand kommune;http://www.kristiansand.kommune.no;73;93;78;5;22;28;23;30;28;35
17138;10/23/2011 15:24:42;Kristiansund kommune;http://www.kristiansund.kommune.no;76;93;82;6;25;28;21;30;30;35
16105;09/28/2011 09:48:02;Krødsherad kommune;http://www.krodsherad.kommune.no/;48;93;52;3;15;28;15;30;18;35
16955;10/21/2011 14:51:55;Kulturdepartementet;http://www.regjeringen.no/nb/dep/kud;73;93;78;5;25;28;26;30;22;35
16957;10/21/2011 15:14:45;Kunnskapsdepartementet;http://www.regjeringen.no/nb/dep/kd;72;93;77;5;21;28;24;30;27;35
16348;10/06/2011 14:47:40;Kunsthøgskolen i Bergen;http://www.khib.no/;34;93;37;2;14;28;13;30;7;35
16375;10/07/2011 12:11:37;Kunsthøgskolen i Oslo;http://www.khio.no/;43;93;46;3;18;28;12;30;13;35
15808;09/19/2011 20:49:32;Kvalsund kommune;http://www.kvalsund.kommune.no/;56;93;60;4;17;28;20;30;19;35
16077;09/27/2011 14:51:44;Kvam herad;http://www.kvam.kommune.no;60;93;65;4;17;28;21;30;22;35
15502;09/07/2011 13:59:09;Kvinesdal kommune;http://www.kvinesdal.kommune.no;45;93;48;3;14;28;20;30;11;35
16118;09/28/2011 13:08:06;Kvinnherad kommune;http://www.kvinnherad.kommune.no/;68;93;73;5;19;28;21;30;28;35
15004;08/18/2011 14:30:05;Kviteseid kommune;http://www.kviteseid.kommune.no;65;93;70;5;21;28;19;30;25;35
15897;09/22/2011 15:24:23;Kvitsøy kommune;http://www.kvitsoy.kommune.no/;53;93;57;3;19;28;20;30;14;35
16125;09/28/2011 21:48:30;Kvæfjord kommune;http://www.kvafjord.kommune.no/;55;93;59;4;12;28;16;30;27;35
15575;09/12/2011 12:55:54;Kvænangen kommune;http://www.kvanangen.kommune.no;59;93;63;4;19;28;18;30;22;35
15015;08/19/2011 10:33:22;Kystdirektoratet;http://www.kystverket.no/;47;93;51;3;12;28;20;30;15;35
15578;09/12/2011 12:56:53;Kåfjord kommune - Gáivuotna suohkan;http://www.kafjord.kommune.no;63;93;68;4;18;28;21;30;24;35
16959;10/21/2011 15:36:58;Landbruks- og matdepartementet;http://www.regjeringen.no/nb/dep/lmd;72;93;77;5;26;28;25;30;21;35
16135;09/29/2011 09:06:31;Lardal kommune;http://www.lardal.kommune.no/;72;93;77;5;23;28;21;30;28;35
15357;08/31/2011 16:16:29;Larvik kommune;http://www.larvik.kommune.no/;63;93;68;4;15;28;20;30;28;35
